framework,arm,mean,ci_lo,ci_hi,units,seeds,grid
fw_autogen,own,0.528325,0.5179077083333334,0.53881375,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_camel_workforce,own,0.52655,0.5178160416666666,0.5356841666666666,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_crewai,own,0.5282083333333334,0.5178739583333332,0.5380597916666667,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_google_adk,own,0.5422833333333335,0.5346979166666667,0.5495937500000001,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_langgraph,own,0.5313166666666667,0.5220075,0.5395252083333334,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_llamaindex,own,0.5308916666666668,0.519625,0.5420920833333333,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_maf,own,0.5236416666666667,0.5141664583333333,0.5327839583333334,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_magentic_one,own,0.5459583333333333,0.5373247916666667,0.5542510416666666,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_openai_agents,own,0.5285,0.5178579166666668,0.5386249999999999,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_smolagents,own,0.5264,0.5166154166666667,0.5373420833333332,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_autogen,+V r=10,0.609425,0.5949881249999999,0.622866875,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_camel_workforce,+V r=10,0.5766916666666667,0.5686322916666666,0.5864154166666666,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_crewai,+V r=10,0.5767083333333333,0.5663829166666666,0.5862087500000001,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_google_adk,+V r=10,0.6064833333333334,0.5922000000000001,0.6194420833333333,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_langgraph,+V r=10,0.5808,0.5682081250000001,0.5931283333333334,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_llamaindex,+V r=10,0.54075,0.5298662500000001,0.5525770833333332,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_maf,+V r=10,0.5534583333333333,0.5452333333333333,0.5617008333333332,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_magentic_one,+V r=10,0.6325999999999999,0.6233991666666667,0.6425333333333333,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_openai_agents,+V r=10,0.5660083333333333,0.5547745833333334,0.5784499999999999,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_smolagents,+V r=10,0.5954166666666668,0.5822545833333334,0.6094352083333334,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_autogen,+V r=5,0.5938083333333334,0.5806712500000001,0.6064585416666667,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_camel_workforce,+V r=5,0.5893416666666665,0.5777991666666666,0.6028029166666666,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_crewai,+V r=5,0.5872333333333334,0.575933125,0.5986083333333333,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_google_adk,+V r=5,0.6084166666666666,0.594781875,0.6213554166666666,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_langgraph,+V r=5,0.5848333333333334,0.5721333333333334,0.59670125,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_llamaindex,+V r=5,0.5275916666666667,0.515965,0.5405435416666667,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_maf,+V r=5,0.5800249999999999,0.5664285416666666,0.5923922916666666,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_magentic_one,+V r=5,0.6232583333333334,0.6134433333333333,0.6324097916666667,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_openai_agents,+V r=5,0.567975,0.5538731249999999,0.5811668750000001,120,10,fw_live_n1000 / fw_live_n1000_verified
fw_smolagents,+V r=5,0.6077583333333334,0.596133125,0.6196685416666667,120,10,fw_live_n1000 / fw_live_n1000_verified
,midian_v,0.6628333333333334,0.6534077083333334,0.6717833333333333,120,10,fw_live_n1000
,oracle,0.7229666666666666,0.7187,0.7280333333333332,120,10,fw_live_n1000
