panel,series,n,source,mean,ci_lo,ci_hi,units,seeds,grid,all_shape_mean,note
"honest, β = 0",oracle,100,live,0.8449,0.8333999999999999,0.8548025,10.0,10.0,learned_n100,0.7158333333333337,
"honest, β = 0",seq. halving (peer),100,live,0.8100999999999999,0.7918000000000001,0.8256025,10.0,10.0,learned_n100,0.6926666666666665,
"honest, β = 0",MIDIAN-VA,100,live,0.7816,0.7582,0.8019000000000001,10.0,10.0,learned_n100,0.6614666666666668,
"honest, β = 0",MIDIAN-A,100,live,0.7771,0.7604000000000001,0.7941025,10.0,10.0,learned_n100,0.6559,
"honest, β = 0",MIDIAN,100,live,0.7768,0.7598974999999999,0.7940025,10.0,10.0,learned_n100,0.6543,
"honest, β = 0",flat probe argmax (online),100,live,0.7805,0.7660975,0.7931,10.0,10.0,learned_n100,0.6614,
"honest, β = 0",RouterBench KNN router,100,live,0.6820999999999999,0.6517000000000001,0.712,10.0,10.0,learned_n100,0.5871,
"honest, β = 0",declared argmax,100,live,0.5991000000000002,0.579895,0.6176999999999999,10.0,10.0,learned_n100,0.6007666666666667,
"honest, β = 0",random,100,live,0.4258,0.4079975,0.4416025,10.0,10.0,fw_live_n100,0.31506666666666666,
"honest, β = 0",oracle,1000,live,0.8612,0.8572,0.8655999999999999,10.0,10.0,variants_f1+learned_f1+live_f1_n1000,0.7229666666666665,
"honest, β = 0",seq. halving (peer),1000,live,0.8594666666666667,0.8547324999999999,0.8649675000000002,10.0,10.0,variants_f1+learned_f1+live_f1_n1000,0.7218888888888889,
"honest, β = 0",MIDIAN-VA,1000,live,0.8134,0.8051999999999999,0.8208,10.0,10.0,variants_f1+learned_f1+live_f1_n1000,0.6837000000000001,
"honest, β = 0",MIDIAN-A,1000,live,0.7908999999999999,0.7873000000000001,0.7933999999999999,10.0,10.0,variants_f1+learned_f1+live_f1_n1000,0.6679666666666668,
"honest, β = 0",MIDIAN,1000,live,0.7882666666666667,0.7838,0.7921666666666667,10.0,10.0,variants_f1+learned_f1+live_f1_n1000,0.6672777777777779,
"honest, β = 0",flat probe argmax (online),1000,live,0.7870666666666668,0.7811325,0.7927341666666667,10.0,10.0,variants_f1+learned_f1+live_f1_n1000,0.6672888888888888,
"honest, β = 0",RouterBench KNN router,1000,live,0.7265999999999999,0.6992900000000001,0.7489,10.0,10.0,variants_f1+learned_f1+live_f1_n1000,0.6135999999999999,
"honest, β = 0",declared argmax,1000,live,0.7356,0.7189,0.7523,5.0,5.0,variants_f1+learned_f1+live_f1_n1000,0.6557666666666666,
"honest, β = 0",random,1000,live,0.43220000000000003,0.42299999999999993,0.44029999999999997,10.0,10.0,fw_live_n1000,0.3144666666666667,
"honest, β = 0",oracle,10000,live,0.8588888888888889,0.8166666666666668,0.9,3.0,3.0,learned_n10k,,
