panel,series,beta,mean,ci_lo,ci_hi,units,seeds,grid
random liars,oracle,0.0,0.7229666666666665,0.7187,0.7280333333333332,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,oracle,0.1,0.7229666666666665,0.7187,0.7280333333333332,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,oracle,0.25,0.7229666666666665,0.7187,0.7280333333333332,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,oracle,0.5,0.7229666666666665,0.7187,0.7280333333333332,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,seq. halving (peer),0.0,0.7218888888888889,0.7168877777777778,0.7275133333333333,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,seq. halving (peer),0.1,0.7220333333333333,0.7171325,0.7276341666666667,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,seq. halving (peer),0.25,0.7191333333333333,0.7144666666666668,0.7244999999999999,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,seq. halving (peer),0.5,0.6778,0.6664991666666666,0.6880000000000001,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,MIDIAN-VA,0.0,0.6837000000000001,0.6777666666666667,0.6892675,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,MIDIAN-VA,0.1,0.6716333333333335,0.6649,0.6785675,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,MIDIAN-VA,0.25,0.6641666666666668,0.6569666666666667,0.6713683333333333,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,MIDIAN-VA,0.5,0.6800666666666667,0.6727325,0.6872333333333334,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,MIDIAN-V,0.0,0.6822222222222223,0.6759544444444445,0.6879558333333334,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,MIDIAN-V,0.1,0.6840333333333334,0.6777538888888889,0.6898336111111111,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,MIDIAN-V,0.25,0.6754111111111111,0.6677994444444444,0.6826116666666667,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,MIDIAN-V,0.5,0.6077444444444444,0.5769052777777779,0.6324833333333333,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,MIDIAN-A,0.0,0.6679666666666668,0.6612325,0.6751000000000001,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,MIDIAN-A,0.1,0.6675666666666665,0.6603325,0.6751666666666667,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,MIDIAN-A,0.25,0.6674000000000002,0.6602983333333334,0.674635,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,MIDIAN-A,0.5,0.6681333333333335,0.6615658333333333,0.6750675,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,MIDIAN,0.0,0.6672777777777779,0.6605994444444444,0.6743113888888889,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,MIDIAN,0.1,0.6644555555555557,0.6573408333333333,0.6716333333333333,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,MIDIAN,0.25,0.6545444444444446,0.6459111111111111,0.6639025000000001,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,MIDIAN,0.5,0.6273222222222223,0.6184108333333334,0.6359122222222222,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,flat probe argmax (online),0.0,0.6672888888888888,0.6621772222222222,0.6727586111111111,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,flat probe argmax (online),0.1,0.6668,0.6619555555555557,0.6718555555555555,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,flat probe argmax (online),0.25,0.6667666666666665,0.6618888888888889,0.6719119444444445,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,flat probe argmax (online),0.5,0.6667222222222223,0.6616883333333333,0.6720669444444445,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,RouterBench MLP router,0.0,0.6473666666666666,0.6396666666666666,0.6558999999999999,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,RouterBench MLP router,0.1,0.6473666666666666,0.6396666666666666,0.6558999999999999,10,10,variants_f1+learned_f1+live_f1_n1000
random liars,RouterBench MLP router,0.25,0.6473666666666666,0.6396666666666666,0.6558999999999999,10,10,variants_f1+learned_f1+live_f1_n1000
