n,shape,beta,spearman_pooled,spearman_within_family,framework_minus_midian,ci_lo,ci_hi,pairs,frameworks,seeds,grid
100,bimodal,beta=0,0.2775,1.0,0.0236,0.0072,0.0377,104,11,10,fw_live_n100 + legibility.json
100,bimodal,all_beta,0.2775,1.0,0.0345,0.0174,0.0502,423,11,10,fw_live_n100 + legibility.json
100,heavy_tail,beta=0,0.2022,0.4646,-0.0911,-0.1102,-0.0696,107,11,10,fw_live_n100 + legibility.json
100,heavy_tail,all_beta,0.2022,0.4646,-0.0715,-0.0928,-0.0482,420,11,10,fw_live_n100 + legibility.json
100,specialist,beta=0,0.4375,0.5677,-0.2992,-0.3331,-0.2684,95,11,10,fw_live_n100 + legibility.json
100,specialist,all_beta,0.4375,0.5677,-0.2885,-0.3239,-0.2573,385,11,10,fw_live_n100 + legibility.json
1000,bimodal,beta=0,0.2948,1.0,0.0203,0.0166,0.0237,101,11,10,fw_live_n1000 + legibility.json
1000,bimodal,all_beta,0.2948,1.0,0.0329,0.0291,0.0366,408,11,10,fw_live_n1000 + legibility.json
1000,heavy_tail,beta=0,0.1943,0.4639,-0.0312,-0.0422,-0.0194,96,11,10,fw_live_n1000 + legibility.json
1000,heavy_tail,all_beta,0.1943,0.4639,-0.0122,-0.0235,-0.0011,398,11,10,fw_live_n1000 + legibility.json
1000,specialist,beta=0,0.4435,0.5725,-0.409,-0.4269,-0.3924,95,11,10,fw_live_n1000 + legibility.json
1000,specialist,all_beta,0.4435,0.5725,-0.3987,-0.4176,-0.3812,363,11,10,fw_live_n1000 + legibility.json
