panel,series,b,mean,ci_lo,ci_hi,seeds,grid
"honest, β = 0",oracle,1,0.8444400000000001,0.8427848749999999,0.84608525,200,bernoulli_b_sweep
"honest, β = 0",oracle,2,0.8444400000000001,0.8427848749999999,0.84608525,200,bernoulli_b_sweep
"honest, β = 0",oracle,3,0.8444400000000001,0.8427848749999999,0.84608525,200,bernoulli_b_sweep
"honest, β = 0",oracle,5,0.8444400000000001,0.8427848749999999,0.84608525,200,bernoulli_b_sweep
"honest, β = 0",oracle,10,0.8444400000000001,0.8427848749999999,0.84608525,200,bernoulli_b_sweep
"honest, β = 0",oracle,20,0.8444400000000001,0.8427848749999999,0.84608525,200,bernoulli_b_sweep
"honest, β = 0",oracle,30,0.8444400000000001,0.8427848749999999,0.84608525,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN-VA,1,0.6766300000000001,0.6735498750000001,0.67963025,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN-VA,2,0.7634350000000001,0.76102925,0.765700125,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN-VA,3,0.79806,0.796019875,0.8002000000000001,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN-VA,5,0.818785,0.8168950000000001,0.8205701249999999,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN-VA,10,0.833985,0.832189875,0.8357408749999999,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN-VA,20,0.8396899999999999,0.8380943749999998,0.84127,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN-VA,30,0.8415349999999999,0.839919875,0.84316025,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN-A,1,0.6766300000000001,0.6735498750000001,0.67963025,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN-A,2,0.73446,0.731969875,0.736865,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN-A,3,0.76839,0.7658737500000001,0.770685125,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN-A,5,0.7959400000000001,0.79408475,0.7977202500000001,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN-A,10,0.8174600000000001,0.81557475,0.8192051250000001,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN-A,20,0.831545,0.8299000000000001,0.83313025,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN-A,30,0.837085,0.8354592499999999,0.83862525,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN,1,0.6766300000000001,0.6735498750000001,0.67963025,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN,2,0.73446,0.731969875,0.736865,200,bernoulli_b_sweep
"honest, β = 0",MIDIAN,3,0.76839,0.7658737500000001,0.770685125,200,bernoulli_b_sweep
