family,regime,group,n,label,mean,ci_lo,ci_hi,seeds
live,beta0,specialist,100,declared_argmax,0.5991666666666667,0.5798958333333334,0.6178008333333332,10
live,beta0,specialist,100,flat_probe_argmax_frozen,0.69455,0.67394875,0.7147845833333333,10
live,beta0,specialist,100,flat_probe_argmax_online,0.7805,0.7660975,0.7931,10
live,beta0,specialist,100,fw_autogen,0.4548,0.42619749999999995,0.4842099999999999,10
live,beta0,specialist,100,fw_camel_workforce,0.47380000000000005,0.43469250000000004,0.5105049999999999,10
live,beta0,specialist,100,fw_crewai,0.4620000000000001,0.429185,0.49480750000000007,10
live,beta0,specialist,100,fw_google_adk,0.5168,0.48369999999999996,0.5508,10
live,beta0,specialist,100,fw_langgraph,0.48600000000000004,0.45499749999999994,0.5140125,10
live,beta0,specialist,100,fw_llamaindex,0.48209999999999986,0.4417000000000001,0.5246025000000001,10
live,beta0,specialist,100,fw_maf,0.47400000000000003,0.4303975,0.5145074999999999,10
live,beta0,specialist,100,fw_magentic_one,0.5639000000000001,0.5331849999999999,0.5945025,10
live,beta0,specialist,100,fw_magentic_one[supervisor=Qwen/Qwen2.5-14B-Instruct],0.5234,0.4901974999999999,0.561605,10
live,beta0,specialist,100,fw_openai_agents,0.48230000000000006,0.4412975,0.5274025000000001,10
live,beta0,specialist,100,fw_smolagents,0.46179999999999993,0.42729999999999996,0.491805,10
live,beta0,specialist,100,knn_router,0.6820999999999999,0.6517000000000001,0.712,10
live,beta0,specialist,100,knn_router_online,0.7375999999999999,0.7163875,0.7579025000000001,10
live,beta0,specialist,100,llm_supervisor,0.6063,0.5789974999999999,0.6361025,10
live,beta0,specialist,100,midian,0.7746833333333333,0.7565962500000001,0.79223375,10
live,beta0,specialist,100,midian[r=5],0.7743500000000001,0.76105,0.7863025,10
live,beta0,specialist,100,midian_a,0.7771,0.7604000000000001,0.7941025,10
live,beta0,specialist,100,midian_sh,0.7815000000000001,0.7582000000000001,0.8002025,10
live,beta0,specialist,100,midian_sha,0.7815000000000001,0.7582000000000001,0.8002025,10
live,beta0,specialist,100,midian_v,0.7843333333333333,0.7638658333333334,0.8025008333333333,10
live,beta0,specialist,100,midian_v_r5,0.7860000000000001,0.76884875,0.8022,10
live,beta0,specialist,100,midian_va,0.7816,0.7582,0.8019000000000001,10
live,beta0,specialist,100,mlp_router,0.7289,0.7093,0.7479100000000001,10
live,beta0,specialist,100,oracle,0.8449,0.8333999999999999,0.8548025000000002,10
live,beta0,specialist,100,random,0.42575,0.40780000000000005,0.4416025,10
live,beta0,specialist,100,sequential_halving,0.8103,0.7921975,0.8256049999999999,10
live,beta0,specialist,100,sequential_halving_peer,0.8100999999999999,0.7918000000000001,0.8256025,10
live,beta0,specialist,100,warm_start_bandit,0.73,0.7154974999999999,0.7435999999999999,10
live,beta0,specialist,1000,cluster_head_router,0.6205999999999999,0.6092,0.6319999999999999,5
live,beta0,specialist,1000,cnp_self_bid,0.6024,0.5917999999999999,0.6131999999999999,5
live,beta0,specialist,1000,declared_argmax,0.6154499999999999,0.5926475,0.6356499999999999,10
live,beta0,specialist,1000,declared_softmax,0.5599999999999999,0.5482,0.5676,5
live,beta0,specialist,1000,disrouter_cascade,0.43699999999999994,0.42160000000000003,0.45459999999999995,5
live,beta0,specialist,1000,flat_nsw_router,0.7444,0.7196,0.7651999999999999,5
live,beta0,specialist,1000,flat_probe_argmax_frozen,0.7322,0.7062987500000001,0.7565025000000001,10
live,beta0,specialist,1000,flat_probe_argmax_online,0.7871000000000001,0.7809000000000001,0.7929025000000002,10
live,beta0,specialist,1000,fw_autogen,0.3803,0.3514975,0.4105025,10
live,beta0,specialist,1000,fw_camel_workforce,0.36190000000000005,0.3363974999999999,0.3915,10
live,beta0,specialist,1000,fw_crewai,0.376,0.35449749999999997,0.39590000000000003,10
live,beta0,specialist,1000,fw_google_adk,0.43170000000000003,0.4163975,0.45519999999999994,10
live,beta0,specialist,1000,fw_langgraph,0.4023,0.36439749999999993,0.44360249999999996,10
