family,regime,group,n,label,mean,ci_lo,ci_hi,seeds
llmrouterbench,beta0,20 models,20,declared_argmax,0.7176,0.7034,0.7322,5
llmrouterbench,beta0,20 models,20,flat_probe_argmax_frozen,0.6202,0.58936,0.649,5
llmrouterbench,beta0,20 models,20,flat_probe_argmax_online,0.6869999999999999,0.6582000000000001,0.7074,5
llmrouterbench,beta0,20 models,20,knn_router,0.6374000000000001,0.6215999999999999,0.6546000000000001,5
llmrouterbench,beta0,20 models,20,knn_router_online,0.6626000000000001,0.6468,0.6780050000000001,5
llmrouterbench,beta0,20 models,20,linucb_honest,0.679,0.6606,0.696,5
llmrouterbench,beta0,20 models,20,midian,0.6739999999999999,0.6534000000000001,0.6961999999999999,5
llmrouterbench,beta0,20 models,20,midian_a,0.677,0.658,0.6968,5
llmrouterbench,beta0,20 models,20,midian_sh,0.6654,0.647,0.6854,5
llmrouterbench,beta0,20 models,20,midian_sha,0.6654,0.647,0.6854,5
llmrouterbench,beta0,20 models,20,midian_v,0.6686,0.6486,0.6906,5
llmrouterbench,beta0,20 models,20,midian_va,0.6686,0.6486,0.6906,5
llmrouterbench,beta0,20 models,20,mlp_router,0.687,0.6694,0.6991999999999999,5
llmrouterbench,beta0,20 models,20,oracle,0.725,0.7145999999999999,0.7365999999999999,5
llmrouterbench,beta0,20 models,20,random,0.489,0.47140000000000004,0.509,5
llmrouterbench,beta0,20 models,20,sequential_halving,0.6618,0.6449999999999999,0.6874,5
llmrouterbench,beta0,20 models,20,sequential_halving_peer,0.6642,0.6522,0.6828000000000001,5
llmrouterbench,beta0,20 models,20,warm_start_bandit,0.6788000000000001,0.6620000000000001,0.6933999999999999,5
llmrouterbench,beta025_random,20 models,20,declared_argmax,0.635,0.5948,0.6666000000000001,5
llmrouterbench,beta025_random,20 models,20,flat_probe_argmax_frozen,0.6202,0.58936,0.649,5
llmrouterbench,beta025_random,20 models,20,flat_probe_argmax_online,0.6869999999999999,0.6582000000000001,0.7074,5
llmrouterbench,beta025_random,20 models,20,knn_router,0.6374000000000001,0.6215999999999999,0.6546000000000001,5
llmrouterbench,beta025_random,20 models,20,knn_router_online,0.6626000000000001,0.6468,0.6780050000000001,5
llmrouterbench,beta025_random,20 models,20,linucb_honest,0.679,0.6606,0.696,5
llmrouterbench,beta025_random,20 models,20,midian,0.6606,0.6406,0.6816000000000001,5
