family,regime,group,n,label,mean,ci_lo,ci_hi,seeds
routereval,beta0,strong_to_weak,10,declared_argmax,0.8562000000000001,0.8503999999999999,0.8645999999999999,5
routereval,beta0,strong_to_weak,10,flat_probe_argmax_frozen,0.6015999999999999,0.5877999999999999,0.6154,5
routereval,beta0,strong_to_weak,10,flat_probe_argmax_online,0.8064,0.7894,0.8171999999999999,5
routereval,beta0,strong_to_weak,10,knn_router,0.604,0.5822,0.6254,5
routereval,beta0,strong_to_weak,10,knn_router_online,0.7114,0.6928000000000001,0.7232,5
routereval,beta0,strong_to_weak,10,linucb_honest,0.833,0.8194000000000001,0.8479999999999999,5
routereval,beta0,strong_to_weak,10,midian,0.7658,0.7424000000000001,0.7892,5
routereval,beta0,strong_to_weak,10,midian_wo_audit,0.7634000000000001,0.7414000000000001,0.7854,5
routereval,beta0,strong_to_weak,10,midian_wo_defenses,0.7938000000000001,0.7794000000000001,0.8058,5
routereval,beta0,strong_to_weak,10,midian_wo_verify,0.7952,0.7854000000000001,0.8089999999999999,5
routereval,beta0,strong_to_weak,10,mlp_router,0.8622,0.8549999999999999,0.8694000000000001,5
routereval,beta0,strong_to_weak,10,oracle,0.8622,0.8549999999999999,0.8694000000000001,5
routereval,beta0,strong_to_weak,10,random,0.5494000000000001,0.5464000000000001,0.552,5
routereval,beta0,strong_to_weak,10,sequential_halving,0.6158,0.5854,0.646,5
routereval,beta0,strong_to_weak,10,sequential_halving_peer,0.6158,0.5854,0.646,5
routereval,beta0,strong_to_weak,10,warm_start_bandit,0.7964,0.7848,0.808,5
routereval,beta0,strong_to_weak,100,declared_argmax,0.7594000000000001,0.743,0.775205,5
routereval,beta0,strong_to_weak,100,flat_probe_argmax_frozen,0.395,0.3518,0.429,5
routereval,beta0,strong_to_weak,100,flat_probe_argmax_online,0.6404,0.623,0.6578,5
routereval,beta0,strong_to_weak,100,knn_router,0.38639999999999997,0.365,0.4032,5
routereval,beta0,strong_to_weak,100,knn_router_online,0.5886,0.5793999999999999,0.5970000000000001,5
routereval,beta0,strong_to_weak,100,linucb_honest,0.6856,0.6699999999999999,0.7036,5
routereval,beta0,strong_to_weak,100,midian,0.6694,0.642975,0.694,5
routereval,beta0,strong_to_weak,100,midian_wo_audit,0.6694,0.642975,0.694,5
routereval,beta0,strong_to_weak,100,midian_wo_defenses,0.676,0.6558,0.6942,5
routereval,beta0,strong_to_weak,100,midian_wo_verify,0.676,0.6554000000000001,0.6944,5
routereval,beta0,strong_to_weak,100,mlp_router,0.7804,0.7662,0.7962,5
routereval,beta0,strong_to_weak,100,oracle,0.792,0.7782,0.8068049999999999,5
routereval,beta0,strong_to_weak,100,random,0.5459999999999999,0.5328000000000002,0.5571999999999999,5
routereval,beta0,strong_to_weak,100,sequential_halving,0.6437999999999999,0.609,0.6734,5
routereval,beta0,strong_to_weak,100,sequential_halving_peer,0.6437999999999999,0.609,0.6734,5
routereval,beta0,strong_to_weak,100,warm_start_bandit,0.7068000000000001,0.6972,0.7163999999999999,5
routereval,beta0,strong_to_weak,1000,declared_argmax,0.8390000000000001,0.8305999999999999,0.8516,5
routereval,beta0,strong_to_weak,1000,flat_probe_argmax_frozen,0.2684,0.25479500000000005,0.2872,5
routereval,beta0,strong_to_weak,1000,flat_probe_argmax_online,0.5065999999999999,0.4968,0.5194149999999998,5
routereval,beta0,strong_to_weak,1000,fw_autogen,0.583,0.5648000000000001,0.6062000000000001,5
