group,regime,arm,key,b,chosen,value,ci_lo,ci_hi,b_invariant
n = 100,honest,MIDIAN,midian,1,midian,0.7104999999999999,0.6986347847329543,0.7223652152670456,False
n = 100,honest,MIDIAN,midian,3,midian,0.7816,0.7694818776665322,0.7937181223334677,False
n = 100,honest,MIDIAN,midian,5,midian,0.8121,0.8037834168340866,0.8204165831659135,False
n = 100,β=0.5 cartel,MIDIAN,midian,1,midian,0.6972,0.6858345552953995,0.7085654447046006,False
n = 100,β=0.5 cartel,MIDIAN,midian,3,midian,0.768,0.7560055568421595,0.7799944431578405,False
n = 100,β=0.5 cartel,MIDIAN,midian,5,midian,0.8121,0.8037834168340866,0.8204165831659135,False
n = 100,honest,MIDIAN w/o defenses,midian_wo_defenses,1,midian_wo_defenses,0.7104999999999999,0.6986347847329543,0.7223652152670456,False
n = 100,honest,MIDIAN w/o defenses,midian_wo_defenses,3,midian_wo_defenses,0.77705,0.7673958197286412,0.7865375136046922,False
n = 100,honest,MIDIAN w/o defenses,midian_wo_defenses,5,midian_wo_defenses,0.8002,0.7924485843586836,0.8079514156413165,False
n = 100,β=0.5 cartel,MIDIAN w/o defenses,midian_wo_defenses,1,midian_wo_defenses,0.6625,0.6534112401530486,0.6715887598469513,False
n = 100,β=0.5 cartel,MIDIAN w/o defenses,midian_wo_defenses,3,midian_wo_defenses,0.7405,0.7321078740608963,0.7488921259391038,False
n = 100,β=0.5 cartel,MIDIAN w/o defenses,midian_wo_defenses,5,midian_wo_defenses,0.7552,0.7467162901196862,0.7636837098803138,False
n = 100,honest,flat probe argmax,flat_probe_argmax_online,1,flat_probe_argmax_online,0.7022999999999999,0.6924431918621357,0.7121568081378642,False
n = 100,honest,flat probe argmax,flat_probe_argmax_online,3,flat_probe_argmax_online,0.7805,0.773182972674037,0.7878170273259629,False
n = 100,honest,flat probe argmax,flat_probe_argmax_online,5,flat_probe_argmax_online,0.8006,0.7938189807386926,0.8073810192613073,False
n = 100,β=0.5 cartel,flat probe argmax,flat_probe_argmax_online,1,flat_probe_argmax_online,0.7022999999999999,0.6924431918621357,0.7121568081378642,False
n = 100,β=0.5 cartel,flat probe argmax,flat_probe_argmax_online,3,flat_probe_argmax_online,0.7805,0.773182972674037,0.7878170273259629,False
n = 100,β=0.5 cartel,flat probe argmax,flat_probe_argmax_online,5,flat_probe_argmax_online,0.8006,0.7938189807386926,0.8073810192613073,False
