group,regime,arm,b,chosen,value,ci_lo,ci_hi
"live n = 100,000",honest,MIDIAN-VA,1,midian_va,0.7422680412371135,0.6842783505154639,0.8002577319587629
"live n = 100,000",honest,MIDIAN-VA,3,midian_va,0.9690721649484538,0.9394329896907219,0.9935567010309281
"live n = 100,000",β=0.5 cartel,MIDIAN-VA,3,midian_va,0.9600515463917527,0.943298969072165,0.970360824742268
"live n = 100,000",honest,MIDIAN,3,midian,0.8724226804123713,0.8273195876288661,0.916237113402062
"live n = 100,000",β=0.5 cartel,MIDIAN,3,midian,0.8182989690721651,0.7886597938144332,0.8659793814432991
"live n = 100,000",honest,flat probe argmax (online),3,flat_probe_argmax_online,0.8685567010309279,0.8157216494845364,0.9355670103092785
"live n = 100,000",β=0.5 cartel,flat probe argmax (online),3,flat_probe_argmax_online,0.8685567010309279,0.8157216494845364,0.9355670103092785
"live n = 100,000",honest,best learned router,3,knn_router_online,0.859536082474227,0.8234536082474228,0.9007731958762888
"live n = 100,000",β=0.5 cartel,best learned router,3,knn_router_online,0.859536082474227,0.8234536082474228,0.9007731958762888
"live n = 100,000",honest,best bandit,3,warm_start_bandit,0.8556701030927836,0.7886597938144332,0.9085051546391754
"live n = 100,000",β=0.5 cartel,best bandit,3,warm_start_bandit,0.9020618556701031,0.8582474226804123,0.9471649484536084
"live n = 100,000",honest,declared argmax,-,declared_argmax,0.7216494845360826,0.6881443298969073,0.7809278350515465
"live n = 100,000",β=0.5 cartel,declared argmax,-,declared_argmax,0.6701030927835053,0.6301546391752578,0.711340206185567
"live n = 100,000",honest,random,-,random,0.5128865979381444,0.4871134020618557,0.5489690721649485
"live n = 100,000",β=0.5 cartel,random,-,random,0.5128865979381444,0.4871134020618557,0.5489690721649485
"bernoulli n = 10,000,000",honest,MIDIAN-VA,1,midian_va,0.801538716082065,0.7962554363240996,0.8065625886357188
"bernoulli n = 10,000,000",honest,MIDIAN-VA,3,midian_va,0.9469249314550441,0.943556478680155,0.950411565188617
"bernoulli n = 10,000,000",honest,MIDIAN-VA,5,midian_va,0.9801140840187827,0.974921284319034,0.9851636340716419
"bernoulli n = 10,000,000",β=0.5 cartel,MIDIAN-VA,1,midian_va,0.7976505625413634,0.7921542616053701,0.8030526141628062
"bernoulli n = 10,000,000",β=0.5 cartel,MIDIAN-VA,3,midian_va,0.9386404462513,0.9347165429705965,0.9426591897513471
"bernoulli n = 10,000,000",β=0.5 cartel,MIDIAN-VA,5,midian_va,0.9769063151402189,0.9673392851515193,0.9854054957522386
"bernoulli n = 10,000,000",honest,MIDIAN,1,midian,0.801538716082065,0.7962554363240996,0.8065625886357188
"bernoulli n = 10,000,000",honest,MIDIAN,3,midian,0.9109742838233904,0.9071097664744258,0.9149809137751728
"bernoulli n = 10,000,000",β=0.5 cartel,MIDIAN,1,midian,0.7449891273518012,0.7352746525479815,0.7541147655289782
"bernoulli n = 10,000,000",β=0.5 cartel,MIDIAN,3,midian,0.8462702089439349,0.8395338942989505,0.8528895244398224
"bernoulli n = 10,000,000",honest,flat probe argmax (online),1,flat_probe_argmax_online,0.8005105417415147,0.7954051243263685,0.8059471612933724
"bernoulli n = 10,000,000",honest,flat probe argmax (online),3,flat_probe_argmax_online,0.9088470265670794,0.9049698047650562,0.9127366573697645
"bernoulli n = 10,000,000",β=0.5 cartel,flat probe argmax (online),1,flat_probe_argmax_online,0.8005105417415147,0.7954051243263685,0.8059471612933724
"bernoulli n = 10,000,000",β=0.5 cartel,flat probe argmax (online),3,flat_probe_argmax_online,0.9088470265670794,0.9049698047650562,0.9127366573697645
"bernoulli n = 10,000,000",honest,best learned router,1,cluster_head_router,0.9908764299896,0.9877091802968705,0.9940327479436512
"bernoulli n = 10,000,000",honest,best learned router,3,cluster_head_router,0.9908764299896,0.9877091802968705,0.9940327479436512
"bernoulli n = 10,000,000",β=0.5 cartel,best learned router,1,cluster_head_router,0.8449702183984117,0.839887846270209,0.8505137917178781
"bernoulli n = 10,000,000",β=0.5 cartel,best learned router,3,disrouter_cascade,0.8523447102202891,0.8481132409946106,0.8565761794459674
"bernoulli n = 10,000,000",honest,best bandit,1,warm_start_bandit,0.9889973527465253,0.9860177153257065,0.9919991490970974
"bernoulli n = 10,000,000",honest,best bandit,3,warm_start_bandit,0.9912073366739151,0.9884179705965774,0.9941033610664647
"bernoulli n = 10,000,000",β=0.5 cartel,best bandit,1,warm_start_bandit,0.8933889571712206,0.8895595986574643,0.8970537487000096
"bernoulli n = 10,000,000",β=0.5 cartel,best bandit,3,warm_start_bandit,0.9075115817339511,0.9039543348775646,0.9107379219060225
"bernoulli n = 10,000,000",honest,declared argmax,-,declared_argmax,0.9941500425451448,0.9911837004821782,0.996880613595537
"bernoulli n = 10,000,000",β=0.5 cartel,declared argmax,-,declared_argmax,0.8550865084617566,0.84860989647348,0.8615631204500332
"bernoulli n = 10,000,000",honest,random,-,random,0.49364186442280406,0.49003704973054724,0.4973054741420062
"bernoulli n = 10,000,000",β=0.5 cartel,random,-,random,0.49364186442280406,0.49003704973054724,0.4973054741420062
