group,regime,arm,b,chosen,value,ci_lo,ci_hi,b_invariant
"live n = 100,000",honest,MIDIAN-VA,5,midian_va,0.9896907216494847,0.9510309278350516,1.020618556701031,False
"live n = 100,000",honest,MIDIAN-VA,3,midian_va,0.9690721649484538,0.9394329896907219,0.9935567010309281,False
"live n = 100,000",honest,MIDIAN-VA,1,midian_va,0.7422680412371135,0.6842783505154639,0.8002577319587629,False
"live n = 100,000",β=0.5 cartel,MIDIAN-VA,5,midian_va,0.9884020618556703,0.9510309278350516,1.0167525773195876,False
"live n = 100,000",β=0.5 cartel,MIDIAN-VA,3,midian_va,0.9600515463917527,0.943298969072165,0.970360824742268,False
"live n = 100,000",β=0.5 cartel,MIDIAN-VA,1,midian_va,0.7164948453608249,0.6842783505154639,0.7693298969072165,False
"live n = 100,000",honest,MIDIAN,3,midian,0.8724226804123713,0.8273195876288661,0.916237113402062,False
"live n = 100,000",honest,MIDIAN,1,midian,0.7422680412371135,0.6842783505154639,0.8002577319587629,False
"live n = 100,000",β=0.5 cartel,MIDIAN,3,midian,0.8182989690721651,0.7886597938144332,0.8659793814432991,False
"live n = 100,000",honest,flat probe argmax (online),3,flat_probe_argmax_online,0.8685567010309279,0.8157216494845364,0.9355670103092785,False
"live n = 100,000",honest,flat probe argmax (online),1,flat_probe_argmax_online,0.7680412371134022,0.6765463917525775,0.8466494845360826,False
"live n = 100,000",β=0.5 cartel,flat probe argmax (online),3,flat_probe_argmax_online,0.8685567010309279,0.8157216494845364,0.9355670103092785,False
"live n = 100,000",honest,best learned router,3,knn_router_online x3,0.859536082474227,0.8234536082474228,0.9007731958762888,False
"live n = 100,000",honest,best learned router,5,"cluster_head_router x3 | INCOMPLETE POOL, missing knn_router, knn_router_online, flat_nsw_router",0.711340206185567,0.6997422680412373,0.7268041237113403,True
"live n = 100,000",honest,best learned router,1,"cluster_head_router x3 | INCOMPLETE POOL, missing knn_router, knn_router_online",0.711340206185567,0.6997422680412373,0.7268041237113403,True
"live n = 100,000",β=0.5 cartel,best learned router,3,knn_router_online x3,0.859536082474227,0.8234536082474228,0.9007731958762888,False
"live n = 100,000",β=0.5 cartel,best learned router,5,"disrouter_cascade x3 | INCOMPLETE POOL, missing knn_router, knn_router_online, flat_nsw_router",0.6817010309278352,0.6417525773195877,0.722938144329897,True
"live n = 100,000",β=0.5 cartel,best learned router,1,"disrouter_cascade x3 | INCOMPLETE POOL, missing knn_router, knn_router_online",0.6817010309278352,0.6417525773195877,0.722938144329897,True
"live n = 100,000",honest,best bandit,3,warm_start_bandit[n0=0.5] x3,0.8750000000000002,0.8234536082474228,0.904639175257732,False
"live n = 100,000",honest,best bandit,1,warm_start_bandit[n0=0.5] x3,0.7835051546391752,0.7268041237113403,0.8157216494845364,False
"live n = 100,000",β=0.5 cartel,best bandit,3,warm_start_bandit[n0=0.5] x3,0.88659793814433,0.8621134020618557,0.9123711340206186,False
"live n = 100,000",β=0.5 cartel,best bandit,1,"ucb_per_family x3 | INCOMPLETE POOL, missing linucb_honest, warm_start_bandit[n0=0.5]",0.6675257731958765,0.6262886597938145,0.6958762886597939,False
"live n = 100,000",honest,declared argmax,-,declared_argmax,0.7216494845360826,0.6881443298969073,0.7809278350515465,True
"live n = 100,000",β=0.5 cartel,declared argmax,-,declared_argmax,0.6701030927835053,0.6301546391752578,0.711340206185567,True
"live n = 100,000",honest,random,-,random,0.5128865979381444,0.4871134020618557,0.5489690721649485,True
"live n = 100,000",β=0.5 cartel,random,-,random,0.5128865979381444,0.4871134020618557,0.5489690721649485,True
"bernoulli n = 10,000,000",honest,MIDIAN-VA,5,midian_va,0.9763638082632122,0.9731253545428757,0.9796258981752861,False
"bernoulli n = 10,000,000",honest,MIDIAN-VA,3,midian_va,0.9469249314550441,0.943556478680155,0.950411565188617,False
"bernoulli n = 10,000,000",honest,MIDIAN-VA,1,midian_va,0.801538716082065,0.7962554363240996,0.8065625886357188,False
"bernoulli n = 10,000,000",β=0.5 cartel,MIDIAN-VA,5,midian_va,0.9737992814597709,0.9704074879455421,0.9774874137278998,False
"bernoulli n = 10,000,000",β=0.5 cartel,MIDIAN-VA,3,midian_va,0.9386404462513,0.9347165429705965,0.9426591897513471,False
"bernoulli n = 10,000,000",β=0.5 cartel,MIDIAN-VA,1,midian_va,0.7976505625413634,0.7921542616053701,0.8030526141628062,False
"bernoulli n = 10,000,000",honest,MIDIAN,5,midian,0.9399522548926919,0.9360992601871987,0.9437576817623144,False
"bernoulli n = 10,000,000",honest,MIDIAN,3,midian,0.9109742838233904,0.9071097664744258,0.9149809137751728,False
"bernoulli n = 10,000,000",honest,MIDIAN,1,midian,0.801538716082065,0.7962554363240996,0.8065625886357188,False
"bernoulli n = 10,000,000",β=0.5 cartel,MIDIAN,5,midian,0.8987661907913396,0.8939559303205068,0.9035764512621727,False
"bernoulli n = 10,000,000",β=0.5 cartel,MIDIAN,3,midian,0.8462702089439349,0.8395338942989505,0.8528895244398224,False
"bernoulli n = 10,000,000",β=0.5 cartel,MIDIAN,1,midian,0.7449891273518012,0.7352746525479815,0.7541147655289782,False
"bernoulli n = 10,000,000",honest,flat probe argmax (online),5,flat_probe_argmax_online,0.9409095206580317,0.9379192469509314,0.9438055450505813,False
"bernoulli n = 10,000,000",honest,flat probe argmax (online),3,flat_probe_argmax_online,0.9088470265670794,0.9049698047650562,0.9127366573697645,False
"bernoulli n = 10,000,000",honest,flat probe argmax (online),1,flat_probe_argmax_online,0.8005105417415147,0.7954051243263685,0.8059471612933724,False
"bernoulli n = 10,000,000",β=0.5 cartel,flat probe argmax (online),5,flat_probe_argmax_online,0.9409095206580317,0.9379192469509314,0.9438055450505813,False
"bernoulli n = 10,000,000",β=0.5 cartel,flat probe argmax (online),3,flat_probe_argmax_online,0.9088470265670794,0.9049698047650562,0.9127366573697645,False
"bernoulli n = 10,000,000",β=0.5 cartel,flat probe argmax (online),1,flat_probe_argmax_online,0.8005105417415147,0.7954051243263685,0.8059471612933724,False
"bernoulli n = 10,000,000",honest,best learned router,5,cluster_head_router x100,0.9908764299896,0.9877091802968705,0.9940327479436512,True
"bernoulli n = 10,000,000",honest,best learned router,3,cluster_head_router x100,0.9908764299896,0.9877091802968705,0.9940327479436512,True
"bernoulli n = 10,000,000",honest,best learned router,1,cluster_head_router x100,0.9908764299896,0.9877091802968705,0.9940327479436512,True
"bernoulli n = 10,000,000",β=0.5 cartel,best learned router,5,disrouter_cascade x100,0.8523447102202891,0.8481132409946106,0.8565761794459674,True
