family,group,n,regime,best_rival,gap,half_width,best_rival_incl_hidden,gap_incl_hidden
RouterEval,all_weak,5000,beta0,declared_argmax,-0.15888888888888886,0.05550275268448903,sequential_halving,-0.17666666666666653
RouterEval,strong_to_weak,5000,beta0,declared_argmax,-0.15888888888888886,0.05550275268448903,sequential_halving,-0.17666666666666653
RouterEval,all_strong,5000,beta0,declared_argmax,-0.15888888888888886,0.05550275268448903,sequential_halving,-0.17666666666666653
RouterEval,strong_to_weak,1000,beta0,declared_argmax,-0.12600000000000022,0.021896717219711332,declared_argmax,-0.12600000000000022
RouterEval,strong_to_weak,100,beta05_random,mlp_router,-0.11839999999999995,0.02428600419995015,mlp_router,-0.11839999999999995
RouterEval,strong_to_weak,100,beta025_random,mlp_router,-0.11759999999999993,0.03194119597009475,mlp_router,-0.11759999999999993
RouterEval,strong_to_weak,100,beta025_cartel,mlp_router,-0.11359999999999992,0.023894769302087865,mlp_router,-0.11359999999999992
RouterEval,strong_to_weak,100,cartel,mlp_router,-0.11140000000000005,0.025321137415211064,mlp_router,-0.11140000000000005
RouterEval,strong_to_weak,100,beta0,mlp_router,-0.11099999999999999,0.029595399241267216,mlp_router,-0.11099999999999999
RouterEval,strong_to_weak,10,beta025_random,mlp_router,-0.0978,0.023528705871764446,mlp_router,-0.0978
RouterEval,strong_to_weak,10,beta0,mlp_router,-0.09639999999999993,0.024482646915723803,mlp_router,-0.09639999999999993
RouterEval,strong_to_weak,10,cartel,mlp_router,-0.09639999999999993,0.024482646915723803,mlp_router,-0.09639999999999993
RouterEval,strong_to_weak,10,beta05_random,mlp_router,-0.0955999999999998,0.023719190542680874,mlp_router,-0.0955999999999998
RouterEval,strong_to_weak,10,beta025_cartel,mlp_router,-0.0938,0.022010906387516238,mlp_router,-0.0938
RouterEval,all_strong,1000,beta0,declared_argmax,-0.09239999999999993,0.011482595525402796,declared_argmax,-0.09239999999999993
RouterEval,all_weak,1000,beta025_random,declared_argmax,-0.06840000000000002,0.01820988742414405,declared_argmax,-0.06840000000000002
RouterEval,all_weak,1000,beta05_random,declared_argmax,-0.06719999999999993,0.01716896928327383,declared_argmax,-0.06719999999999993
RouterEval,all_weak,1000,beta0,declared_argmax,-0.05980000000000002,0.028448097036533056,declared_argmax,-0.05980000000000002
bernoulli,specialist,100,beta0,declared_argmax,-0.05744099999999985,0.0019422055324584905,declared_argmax,-0.05744099999999985
bernoulli,specialist,10,beta0,cluster_head_router,-0.05444899999999997,0.003856569391736747,cluster_head_router,-0.05444899999999997
RouterEval,all_weak,10,beta025_random,knn_router_online,-0.054200000000000026,0.025175384803414615,knn_router_online,-0.054200000000000026
RouterBench replay,all shapes pooled,100,beta0,declared_argmax,-0.05363833333333334,0.001547435451276676,declared_argmax,-0.05363833333333334
