family,group,n,regime,rival,rival_name,gap,ci_lo,ci_hi,units,result
bernoulli,shapes pooled,10,beta0,flat_probe_argmax_online,flat probe argmax (online),-0.021050999999999993,-0.022389074999999994,-0.019765974999999995,1000,loss
bernoulli,shapes pooled,10,beta0,warm_start_bandit,warm-start bandit,-0.021388999999999995,-0.02284009999999999,-0.01995297499999999,1000,loss
bernoulli,shapes pooled,10,beta0,linucb_honest,LinUCB,-0.015191,-0.016559499999999998,-0.01381895,1000,loss
bernoulli,shapes pooled,10,beta0,declared_argmax,declared argmax,-0.05439399999999999,-0.05605814999999999,-0.052799875,1000,loss
bernoulli,shapes pooled,10,beta0,verify_on_claim,verify on claim,-0.031445999999999995,-0.03310212499999999,-0.029826674999999993,1000,loss
bernoulli,shapes pooled,10,beta0,midian,MIDIAN,-0.012583999999999996,-0.013808349999999997,-0.011439725000000001,1000,loss
bernoulli,shapes pooled,10,beta0,sequential_halving_peer,seq. halving (peer),0.022305,0.020179825,0.024352550000000004,1000,win
bernoulli,shapes pooled,10,beta025_cartel,flat_probe_argmax_online,flat probe argmax (online),-0.021612999999999993,-0.022957299999999993,-0.020348999999999996,1000,loss
bernoulli,shapes pooled,10,beta025_cartel,warm_start_bandit,warm-start bandit,-0.0075089999999999974,-0.009025074999999997,-0.006071924999999998,1000,loss
bernoulli,shapes pooled,10,beta025_cartel,linucb_honest,LinUCB,-0.015752999999999996,-0.01711015,-0.014394949999999997,1000,loss
bernoulli,shapes pooled,10,beta025_cartel,declared_argmax,declared argmax,0.03778700000000001,0.035354300000000005,0.040251075000000004,1000,win
bernoulli,shapes pooled,10,beta025_cartel,verify_on_claim,verify on claim,-0.010601999999999999,-0.012589475,-0.008630924999999996,1000,loss
bernoulli,shapes pooled,10,beta025_cartel,midian,MIDIAN,-0.0010789999999999986,-0.0025301749999999982,0.0002781000000000009,1000,tie
bernoulli,shapes pooled,10,beta025_cartel,sequential_halving_peer,seq. halving (peer),0.026274000000000002,0.024105525000000003,0.028416,1000,win
bernoulli,shapes pooled,10,beta025_random,flat_probe_argmax_online,flat probe argmax (online),-0.022016999999999995,-0.023338549999999996,-0.020726974999999995,1000,loss
bernoulli,shapes pooled,10,beta025_random,warm_start_bandit,warm-start bandit,-0.010251999999999999,-0.01181825,-0.008774749999999998,1000,loss
bernoulli,shapes pooled,10,beta025_random,linucb_honest,LinUCB,-0.016156999999999998,-0.017486124999999998,-0.014778649999999999,1000,loss
bernoulli,shapes pooled,10,beta025_random,declared_argmax,declared argmax,0.027263000000000006,0.024662100000000003,0.029887524999999998,1000,win
bernoulli,shapes pooled,10,beta025_random,verify_on_claim,verify on claim,-0.0009789999999999992,-0.0030370249999999988,0.0009603249999999991,1000,tie
bernoulli,shapes pooled,10,beta025_random,midian,MIDIAN,-0.004008999999999999,-0.005429075,-0.0025968249999999997,1000,loss
bernoulli,shapes pooled,10,beta025_random,sequential_halving_peer,seq. halving (peer),0.023815000000000006,0.021789925000000005,0.025817274999999997,1000,win
