arm,n,work,slope,work_max,slope_max
MIDIAN-VA,100,25.0,0.08603262052508492,,
MIDIAN-VA,1000,36.0,0.08603262052508492,,
MIDIAN-VA,10000,47.0,0.08603262052508492,,
MIDIAN-VA,100000,58.0,0.08603262052508492,,
MIDIAN-VA,1000000,69.0,0.08603262052508492,,
MIDIAN-VA,10000000,80.0,0.08603262052508492,,
MIDIAN,100,46.0,0.09120448296448691,,
MIDIAN,1000,69.0,0.09120448296448691,,
MIDIAN,10000,92.0,0.09120448296448691,,
MIDIAN,100000,115.0,0.09120448296448691,,
MIDIAN,1000000,138.0,0.09120448296448691,,
MIDIAN,10000000,161.0,0.09120448296448691,,
flat probe argmax (online),100,100.0,1.0000000000000002,,
flat probe argmax (online),1000,1000.0,1.0000000000000002,,
flat probe argmax (online),10000,10000.0,1.0000000000000002,,
flat probe argmax (online),100000,100000.0,1.0000000000000002,,
flat probe argmax (online),1000000,1000000.0,1.0000000000000002,,
flat probe argmax (online),10000000,10000000.0,1.0000000000000002,,
best learned router,100,24.582,-2.5900121573465668e-17,54.3545,0.9708546833276567
best learned router,1000,50.0,-2.5900121573465668e-17,488.0625,0.9708546833276567
best learned router,10000,50.0,-2.5900121573465668e-17,4533.667,0.9708546833276567
best learned router,100000,50.0,-2.5900121573465668e-17,42499.862,0.9708546833276567
best learned router,1000000,50.0,-2.5900121573465668e-17,394053.4265,0.9708546833276567
best learned router,10000000,50.0,-2.5900121573465668e-17,3742795.6115,0.9708546833276567
best bandit,100,100.0,1.0000000000000002,100.0,1.0000000000000002
best bandit,1000,1000.0,1.0000000000000002,1000.0,1.0000000000000002
best bandit,10000,10000.0,1.0000000000000002,10000.0,1.0000000000000002
best bandit,100000,100000.0,1.0000000000000002,100000.0,1.0000000000000002
best bandit,1000000,1000000.0,1.0000000000000002,1000000.0,1.0000000000000002
best bandit,10000000,10000000.0,1.0000000000000002,10000000.0,1.0000000000000002
declared argmax,100,100.0,1.0000000000000002,,
declared argmax,1000,1000.0,1.0000000000000002,,
declared argmax,10000,10000.0,1.0000000000000002,,
declared argmax,100000,100000.0,1.0000000000000002,,
declared argmax,1000000,1000000.0,1.0000000000000002,,
declared argmax,10000000,10000000.0,1.0000000000000002,,
