n,regime,shortlist,mean,best,k,star
100,beta0,embed,0.5302749999999999,0.6111,8,False
100,beta0,sota,0.53815,0.6037,8,False
100,beta0,tfidf,0.47724444444444436,0.5559000000000001,9,True
100,beta0,va_cohort,0.5658375,0.6481999999999999,8,False
100,cartel,embed,0.520475,0.5532,8,False
100,cartel,sota,0.53465,0.5660999999999999,8,False
100,cartel,tfidf,0.4631851851851852,0.4831,9,True
100,cartel,va_cohort,0.558475,0.6103,8,False
1000,beta0,bm25,0.39175,0.4166999999999999,6,False
1000,beta0,dense,0.44331111111111104,0.4795999999999999,6,False
1000,beta0,embed,0.5036888888888889,0.6315,9,True
1000,beta0,sota,0.4701888888888888,0.4883333333333333,6,False
1000,beta0,tfidf,0.3805555555555556,0.4313,9,True
1000,beta0,va_cohort,0.5703666666666667,0.6593,9,False
1000,cartel,embed,0.49873749999999994,0.5598,8,False
1000,cartel,sota,0.48009999999999997,0.5398000000000001,8,False
1000,cartel,tfidf,0.37379999999999997,0.4109,9,True
1000,cartel,va_cohort,0.5663,0.6211,8,False
10000,beta0,embed,0.43652777777777774,0.5711111111111111,8,False
10000,beta0,sota,0.4140277777777777,0.5155555555555557,8,False
10000,beta0,tfidf,0.2950617283950617,0.3666666666666666,9,False
10000,beta0,va_cohort,0.5898611111111111,0.6777777777777777,8,False
10000,cartel,embed,0.41730158730158723,0.4544444444444444,7,False
10000,cartel,sota,0.40507936507936504,0.4766666666666666,7,False
10000,cartel,tfidf,0.2875,0.3188888888888889,8,False
10000,cartel,va_cohort,0.5461904761904762,0.6211111111111111,7,False
100000,beta0,declared,0.6202777777777778,0.64,8,False
100000,beta0,dense_icomp,0.48638888888888887,0.6266666666666666,8,False
100000,beta0,dense_idemo,0.46486111111111106,0.6188888888888888,8,False
100000,beta0,embed,0.46027777777777773,0.6011111111111112,8,False
100000,beta0,sota,0.40277777777777773,0.5122222222222222,8,False
100000,beta0,sota_icomp,0.4318055555555555,0.5533333333333333,8,False
100000,beta0,sota_idemo,0.4230555555555555,0.5211111111111111,8,False
100000,beta0,tfidf,0.3788888888888888,0.3788888888888888,10,False
100000,beta0,va_cohort,0.5681944444444444,0.6655555555555556,8,False
100000,cartel,declared,0.5444444444444444,0.57,8,False
100000,cartel,dense_icomp,0.48819444444444443,0.6088888888888889,8,False
100000,cartel,dense_idemo,0.45833333333333326,0.5711111111111111,8,False
100000,cartel,embed,0.44847222222222216,0.4977777777777777,8,False
100000,cartel,sota,0.40472222222222215,0.4855555555555555,8,False
100000,cartel,sota_icomp,0.4279166666666666,0.5277777777777778,8,False
100000,cartel,sota_idemo,0.41638888888888886,0.5233333333333333,8,False
100000,cartel,tfidf,0.3788888888888888,0.3788888888888888,10,False
100000,cartel,va_cohort,0.5519444444444445,0.6666666666666666,8,False
