n,regime,shortlist,mean,best,k,star,name,variant
100000,beta0,declared,0.6244444444444445,0.6577777777777778,9,False,declared top-k,declared
100000,beta0,embed,0.46098765432098765,0.6011111111111112,9,False,MiniLM,embed
100000,beta0,tfidf,0.3788888888888889,0.3788888888888889,10,False,hashed TF-IDF,tfidf
100000,beta0,va_cohort,0.5711111111111111,0.6655555555555556,10,False,MIDIAN cohort,va_cohort
100000,cartel,declared,0.5481111111111111,0.57,10,False,declared top-k,declared
100000,cartel,embed,0.4424444444444444,0.4977777777777777,10,False,MiniLM,embed
100000,cartel,tfidf,0.3788888888888889,0.3788888888888889,10,False,hashed TF-IDF,tfidf
100000,cartel,va_cohort,0.5559999999999999,0.6666666666666666,10,False,MIDIAN cohort,va_cohort
100000,beta0,dense,0.4833333333333333,0.6266666666666666,9,False,dense (Qwen3-8B),dense_icomp
100000,cartel,dense,0.487,0.6088888888888889,10,False,dense (Qwen3-8B),dense_icomp
100000,beta0,sota,0.43200000000000005,0.5533333333333333,10,False,fusion + reranker,sota_icomp
100000,cartel,sota,0.42866666666666664,0.5277777777777778,10,False,fusion + reranker,sota_icomp
