n,regime,shortlist,mean,best,k,star
10,beta0,embed,0.6083142857142858,0.7104000000000001,7,False
10,beta0,tfidf,0.6194928571428572,0.7102,7,False
10,beta0,va_cohort,0.6277142857142858,0.6776,7,False
10,cartel,embed,0.5579142857142857,0.5913999999999999,7,False
10,cartel,tfidf,0.5792333333333334,0.5970000000000001,6,False
10,cartel,va_cohort,0.5533666666666667,0.5900000000000001,6,False
100,beta0,embed,0.5394333333333333,0.6208,6,False
100,beta0,tfidf,0.5819,0.613,6,False
100,beta0,va_cohort,0.6258666666666667,0.656,6,False
100,cartel,embed,0.5064333333333334,0.5404000000000001,6,False
100,cartel,tfidf,0.5673600000000001,0.5882000000000001,5,False
100,cartel,va_cohort,0.5544666666666667,0.5650000000000001,6,False
1000,beta0,embed,0.5424571428571429,0.589,7,False
1000,beta0,tfidf,0.5801166666666666,0.5970000000000001,9,False
1000,beta0,va_cohort,0.6548285714285714,0.6891999999999999,7,False
1000,cartel,embed,0.5320285714285714,0.565,7,False
1000,cartel,tfidf,0.5400222222222223,0.583,9,False
1000,cartel,va_cohort,0.5759142857142857,0.6104,7,False
5000,beta0,embed,0.48126984126984124,0.5466666666666667,7,False
5000,beta0,tfidf,0.5922222222222222,0.6155555555555555,9,False
5000,beta0,va_cohort,0.638888888888889,0.6822222222222223,7,False
5000,cartel,embed,0.47412698412698406,0.5288888888888889,7,False
5000,cartel,tfidf,0.532962962962963,0.5477777777777777,9,False
5000,cartel,va_cohort,0.566984126984127,0.6088888888888889,7,False
