n,b,build_probes,build_source,build_J,marginal_J,vs,fw_J,break_even_queries
1000,1,16805.0,ledger,67873.15380134077,0.00500031,cheapest,20.60023539411765,3295.575579697182
1000,1,16805.0,ledger,67873.15380134077,0.00500031,costliest,219.75412344826285,308.8665512382318
1000,3,49427.5,ledger,199629.11995184593,0.00500031,cheapest,20.60023539411765,9692.976027537223
1000,3,49427.5,ledger,199629.11995184593,0.00500031,costliest,219.75412344826285,908.4410308488117
1000,5,83007.5,ledger,335252.243358512,0.00500031,cheapest,20.60023539411765,16278.145988100287
1000,5,83007.5,ledger,335252.243358512,0.00500031,costliest,219.75412344826285,1525.613565918879
100000,1,1680005.0,ledger,6785316.280899822,0.00700051,cheapest,20.60023539411765,329492.49202867766
100000,1,1680005.0,ledger,6785316.280899822,0.00700051,costliest,219.75412344826285,30877.83899134885
100000,3,4959662.0,ledger,20031216.401285056,0.00700051,cheapest,20.60023539411765,972708.586776425
100000,3,4959662.0,ledger,20031216.401285056,0.00700051,costliest,219.75412344826285,91155.76182953146
100000,5,8319642.0,ledger,33601525.578888685,0.00700051,cheapest,20.60023539411765,1631677.8674147774
100000,5,8319642.0,ledger,33601525.578888685,0.00700051,costliest,219.75412344826285,152909.96819252515
10000000,1,168025250.0,ratio 1.050 x nKb,678631588.6616949,0.00900071,cheapest,20.60023539411765,32957304.361410357
10000000,1,168025250.0,ratio 1.050 x nKb,678631588.6616949,0.00900071,costliest,219.75412344826285,3088266.898510458
10000000,3,495999294.5,ledger,2003255302.52134,0.00900071,cheapest,20.60023539411765,97286798.64284596
10000000,3,495999294.5,ledger,2003255302.52134,0.00900071,costliest,219.75412344826285,9116267.417263253
10000000,5,831998807.0,ledger,3360292328.9765854,0.00900071,cheapest,20.60023539411765,163190424.494964
10000000,5,831998807.0,ledger,3360292328.9765854,0.00900071,costliest,219.75412344826285,15291772.063487437
