label,n,b,messages_per_task,comparisons_per_task,build_probes,build_messages
declared_argmax,10,3,0.0,10.0,0.0,10.0
declared_argmax,100,3,0.0,100.0,0.0,100.0
declared_argmax,1000,3,0.0,1000.0,0.0,1000.0
declared_argmax,10000,3,0.0,10000.0,0.0,10000.0
declared_argmax,100000,3,0.0,100000.0,0.0,100000.0
declared_argmax,1000000,3,0.0,1000000.0,0.0,1000000.0
declared_argmax,10000000,3,0.0,10000000.0,0.0,10000000.0
flat_nsw_router,10,3,0.0,50.0,480.0,0.0
flat_nsw_router,100,3,0.0,50.0,4800.0,0.0
flat_nsw_router,1000,3,0.0,50.0,48000.0,0.0
flat_nsw_router,10000,3,0.0,50.0,480000.0,0.0
flat_nsw_router,100000,3,0.0,50.0,4800000.0,0.0
flat_nsw_router,1000000,3,0.0,50.0,48000000.0,0.0
flat_nsw_router,10000000,3,0.0,50.0,480000000.0,0.0
flat_probe_argmax_online,10,3,0.0,10.0,480.0,0.0
flat_probe_argmax_online,100,3,0.0,100.0,4800.0,0.0
flat_probe_argmax_online,1000,3,0.0,1000.0,48000.0,0.0
flat_probe_argmax_online,10000,3,0.0,10000.0,480000.0,0.0
flat_probe_argmax_online,100000,3,0.0,100000.0,4800000.0,0.0
flat_probe_argmax_online,1000000,3,0.0,1000000.0,48000000.0,0.0
flat_probe_argmax_online,10000000,3,0.0,10000000.0,480000000.0,0.0
midian,10,3,3.0,20.0,480.0,9.0
midian,100,3,6.0,40.0,4800.0,100.0
midian,1000,3,9.0,60.0,48000.0,1010.0
midian,10000,3,12.0,80.0,480000.0,10110.0
midian,100000,3,15.0,100.0,4800000.0,101110.0
midian,1000000,3,18.0,120.0,48000000.0,1011110.0
midian,10000000,3,21.0,140.0,480000000.0,10111110.0
midian_va,10,3,3.0,11.0,336.0,9.0
midian_va,100,3,4.0,21.0,4960.0,100.0
midian_va,1000,3,5.0,31.0,49440.0,1010.0
midian_va,10000,3,6.0,41.0,495842.0,10110.0
midian_va,100000,3,7.0,51.0,4959820.0,101110.0
midian_va,1000000,1,8.0,61.0,16799988.5,1011110.0
midian_va,1000000,3,8.0,61.0,49599691.0,1011110.0
midian_va,10000000,1,9.0,71.0,167999523.5,10111110.0
midian_va,10000000,3,9.0,71.0,495999294.5,10111110.0
ucb_per_family,10,3,0.0,10.0,480.0,0.0
ucb_per_family,100,3,0.0,100.0,4800.0,0.0
ucb_per_family,1000,3,0.0,1000.0,48000.0,0.0
ucb_per_family,10000,3,0.0,10000.0,480000.0,0.0
ucb_per_family,100000,3,0.0,100000.0,4800000.0,0.0
ucb_per_family,1000000,3,0.0,1000000.0,48000000.0,0.0
ucb_per_family,10000000,3,0.0,10000000.0,480000000.0,0.0
warm_start_bandit,10,3,0.0,10.0,480.0,10.0
warm_start_bandit,100,3,0.0,100.0,4800.0,100.0
warm_start_bandit,1000,3,0.0,1000.0,48000.0,1000.0
warm_start_bandit,10000,3,0.0,10000.0,480000.0,10000.0
warm_start_bandit,100000,3,0.0,100000.0,4800000.0,100000.0
warm_start_bandit,1000000,3,0.0,1000000.0,48000000.0,1000000.0
warm_start_bandit,10000000,3,0.0,10000000.0,480000000.0,10000000.0
