arm,key,n,work,slope,work_max,slope_max
MIDIAN,midian,100,25.0,0.08603262052508492,,
MIDIAN,midian,1000,36.0,0.08603262052508492,,
MIDIAN,midian,10000,47.0,0.08603262052508492,,
MIDIAN,midian,100000,58.0,0.08603262052508492,,
MIDIAN,midian,1000000,69.0,0.08603262052508492,,
MIDIAN,midian,10000000,80.0,0.08603262052508492,,
MIDIAN w/o defenses,midian_wo_defenses,100,46.0,0.09120448296448691,,
MIDIAN w/o defenses,midian_wo_defenses,1000,69.0,0.09120448296448691,,
MIDIAN w/o defenses,midian_wo_defenses,10000,92.0,0.09120448296448691,,
MIDIAN w/o defenses,midian_wo_defenses,100000,115.0,0.09120448296448691,,
MIDIAN w/o defenses,midian_wo_defenses,1000000,138.0,0.09120448296448691,,
MIDIAN w/o defenses,midian_wo_defenses,10000000,161.0,0.09120448296448691,,
any flat scan,flat_scan,100,100.0,1.0000000000000002,,
any flat scan,flat_scan,1000,1000.0,1.0000000000000002,,
any flat scan,flat_scan,10000,10000.0,1.0000000000000002,,
any flat scan,flat_scan,100000,100000.0,1.0000000000000002,,
any flat scan,flat_scan,1000000,1000000.0,1.0000000000000002,,
any flat scan,flat_scan,10000000,10000000.0,1.0000000000000002,,
best learned/declared router,best_learned,100,24.582,0.9874621568790266,54.3545,0.9708546833276567
best learned/declared router,best_learned,1000,114.736,0.9874621568790266,488.0625,0.9708546833276567
best learned/declared router,best_learned,10000,1014.0305,0.9874621568790266,4533.6669999999995,0.9708546833276567
best learned/declared router,best_learned,100000,10013.8055,0.9874621568790266,42499.862,0.9708546833276567
best learned/declared router,best_learned,1000000,100013.845,0.9874621568790266,394053.4265,0.9708546833276567
best learned/declared router,best_learned,10000000,1000013.6695000001,0.9874621568790266,3742795.6114999996,0.9708546833276567
