n,regime,shortlist,mean,best,k,star,name
100,beta0,declared,0.6306666666666667,0.6499999999999999,10,False,declared top-k
100,beta0,dense_icomp,0.48836666666666667,0.5870000000000001,10,False,"dense, competence instr."
100,beta0,dense_idemo,0.48836666666666667,0.5850000000000001,10,False,"dense, demonstration instr."
100,beta0,embed,0.53192,0.6111,10,False,MiniLM
100,beta0,sota,0.5389,0.6037,10,False,"fusion + reranker, no instr."
100,beta0,sota_icomp,0.5391666666666667,0.6126666666666667,10,False,"fusion + reranker, competence instr."
100,beta0,sota_idemo,0.529,0.6123333333333333,10,False,"fusion + reranker, demonstration instr."
100,beta0,tfidf,0.47942999999999997,0.5559000000000001,10,False,hashed TF-IDF
100,beta0,va_cohort,0.56756,0.6481999999999999,10,False,MIDIAN shortlist
100,cartel,declared,0.4943666666666666,0.5103333333333333,10,False,declared top-k
100,cartel,dense_icomp,0.4791333333333333,0.5256666666666666,10,False,"dense, competence instr."
100,cartel,dense_idemo,0.47939999999999994,0.517,10,False,"dense, demonstration instr."
100,cartel,embed,0.52331,0.5532,10,False,MiniLM
100,cartel,sota,0.5352,0.5660999999999999,10,False,"fusion + reranker, no instr."
100,cartel,sota_icomp,0.5320333333333334,0.5703333333333334,10,False,"fusion + reranker, competence instr."
100,cartel,sota_idemo,0.5235333333333333,0.573,10,False,"fusion + reranker, demonstration instr."
100,cartel,tfidf,0.46699999999999997,0.4844,10,False,hashed TF-IDF
100,cartel,va_cohort,0.55974,0.6103,10,False,MIDIAN shortlist
1000,beta0,bm25,0.4229444444444444,0.5321,9,False,BM25
1000,beta0,declared,0.6131666666666666,0.6263333333333333,10,False,declared top-k
1000,beta0,dense,0.46293999999999996,0.5947,10,False,"dense (Qwen3-8B), no instr."
1000,beta0,dense_icomp,0.5032333333333334,0.6086666666666667,10,False,"dense, competence instr."
1000,beta0,dense_idemo,0.4963666666666667,0.6163333333333333,10,False,"dense, demonstration instr."
1000,beta0,embed,0.50883,0.6315,10,False,MiniLM
1000,beta0,sota,0.47484444444444446,0.5131,9,False,"fusion + reranker, no instr."
1000,beta0,sota_icomp,0.5024,0.593,10,False,"fusion + reranker, competence instr."
1000,beta0,sota_idemo,0.49759999999999993,0.5903333333333333,10,False,"fusion + reranker, demonstration instr."
1000,beta0,tfidf,0.38462,0.4313,10,False,hashed TF-IDF
1000,beta0,va_cohort,0.5741799999999999,0.6593,10,False,MIDIAN shortlist
1000,cartel,declared,0.5259333333333334,0.551,10,False,declared top-k
1000,cartel,dense_icomp,0.5001333333333333,0.573,10,False,"dense, competence instr."
1000,cartel,dense_idemo,0.4897333333333333,0.5506666666666666,10,False,"dense, demonstration instr."
1000,cartel,embed,0.50001,0.5598,10,False,MiniLM
1000,cartel,sota,0.48128000000000004,0.5398000000000001,10,False,"fusion + reranker, no instr."
1000,cartel,sota_icomp,0.5013333333333334,0.5796666666666667,10,False,"fusion + reranker, competence instr."
1000,cartel,sota_idemo,0.4939,0.5506666666666667,10,False,"fusion + reranker, demonstration instr."
1000,cartel,tfidf,0.37664,0.4109,10,False,hashed TF-IDF
1000,cartel,va_cohort,0.5678300000000001,0.6211,10,False,MIDIAN shortlist
10000,beta0,declared,0.6462222222222221,0.6755555555555556,10,False,declared top-k
10000,beta0,dense_icomp,0.4967777777777778,0.6077777777777778,10,False,"dense, competence instr."
10000,beta0,dense_idemo,0.48233333333333334,0.62,10,False,"dense, demonstration instr."
10000,beta0,embed,0.4352222222222221,0.5711111111111111,10,False,MiniLM
10000,beta0,sota,0.4106666666666666,0.5155555555555557,10,False,"fusion + reranker, no instr."
10000,beta0,sota_icomp,0.4527777777777778,0.5588888888888889,10,False,"fusion + reranker, competence instr."
10000,beta0,sota_idemo,0.4347777777777778,0.5344444444444445,10,False,"fusion + reranker, demonstration instr."
10000,beta0,tfidf,0.29277777777777775,0.3666666666666666,10,False,hashed TF-IDF
10000,beta0,va_cohort,0.5946666666666667,0.6777777777777777,10,False,MIDIAN shortlist
10000,cartel,declared,0.5288888888888889,0.5544444444444444,10,False,declared top-k
10000,cartel,dense_icomp,0.4995555555555555,0.6233333333333332,10,False,"dense, competence instr."
10000,cartel,dense_idemo,0.47844444444444445,0.5822222222222222,10,False,"dense, demonstration instr."
10000,cartel,embed,0.4232222222222222,0.4855555555555555,10,False,MiniLM
10000,cartel,sota,0.41133333333333333,0.4877777777777778,10,False,"fusion + reranker, no instr."
10000,cartel,sota_icomp,0.44833333333333336,0.5322222222222223,10,False,"fusion + reranker, competence instr."
10000,cartel,sota_idemo,0.43522222222222223,0.5255555555555556,10,False,"fusion + reranker, demonstration instr."
10000,cartel,tfidf,0.2915555555555555,0.3522222222222222,10,False,hashed TF-IDF
10000,cartel,va_cohort,0.5598888888888889,0.63,10,False,MIDIAN shortlist
100000,beta0,declared,0.6244444444444445,0.6577777777777778,9,False,declared top-k
100000,beta0,dense_icomp,0.4833333333333333,0.6266666666666666,9,False,"dense, competence instr."
100000,beta0,dense_idemo,0.4702222222222222,0.6188888888888888,10,False,"dense, demonstration instr."
100000,beta0,embed,0.46098765432098765,0.6011111111111112,9,False,MiniLM
100000,beta0,sota,0.4109999999999999,0.5122222222222222,10,False,"fusion + reranker, no instr."
100000,beta0,sota_icomp,0.43200000000000005,0.5533333333333333,10,False,"fusion + reranker, competence instr."
100000,beta0,sota_idemo,0.4231111111111111,0.5211111111111111,10,False,"fusion + reranker, demonstration instr."
100000,beta0,tfidf,0.3788888888888889,0.3788888888888889,10,False,hashed TF-IDF
100000,beta0,va_cohort,0.5711111111111111,0.6655555555555556,10,False,MIDIAN shortlist
100000,cartel,declared,0.5481111111111111,0.57,10,False,declared top-k
100000,cartel,dense_icomp,0.487,0.6088888888888889,10,False,"dense, competence instr."
100000,cartel,dense_idemo,0.4633333333333334,0.5711111111111111,10,False,"dense, demonstration instr."
100000,cartel,embed,0.4424444444444444,0.4977777777777777,10,False,MiniLM
100000,cartel,sota,0.4094444444444444,0.4855555555555555,10,False,"fusion + reranker, no instr."
100000,cartel,sota_icomp,0.42866666666666664,0.5277777777777778,10,False,"fusion + reranker, competence instr."
100000,cartel,sota_idemo,0.41722222222222216,0.5233333333333333,10,False,"fusion + reranker, demonstration instr."
100000,cartel,tfidf,0.3788888888888889,0.3788888888888889,10,False,hashed TF-IDF
100000,cartel,va_cohort,0.5559999999999999,0.6666666666666666,10,False,MIDIAN shortlist
