n,arm,key,max_lie,se,seeds,standard_lie
1000,MIDIAN,midian,0.8046666666666668,0.0048074017006186215,3,0.8074
1000,MIDIAN w/o defenses,midian_wo_defenses,0.719,0.012055427546683428,3,0.7379166666666667
1000,flat probe argmax,flat_probe_argmax_online,0.7853333333333333,0.010365541203644153,3,0.7869
1000,best learned/declared router,best_learned,0.7680000000000001,0.015044378795195691,3,0.7656
1000,best bandit,best_bandit,0.7686666666666667,0.009333333333333341,3,0.7636000000000001
1000,declared argmax,declared_argmax,0.21833333333333335,0.04656298004972525,3,0.5202000000000001
1000,best framework,best_framework,0.432,0.06841296173484478,3,0.5598
1000,random,random,0.4283333333333333,0.014768585277917147,3,0.43215
10000,MIDIAN,midian,0.81,0.02168802366215906,3,0.81
10000,MIDIAN w/o defenses,midian_wo_defenses,0.7522222222222222,0.028043176586942144,3,0.7522222222222222
10000,flat probe argmax,flat_probe_argmax_online,0.7744444444444444,0.032735377472569396,3,0.7744444444444444
10000,best learned/declared router,best_learned,0.7311111111111112,0.030082191934846392,3,0.7455555555555554
10000,best bandit,best_bandit,0.7711111111111112,0.04115613150544919,3,0.7833333333333333
10000,declared argmax,declared_argmax,0.4066666666666667,0.0877074260971817,3,0.5322222222222223
10000,best framework,best_framework,0.47888888888888886,0.05444444444444445,3,0.6233333333333332
10000,random,random,0.4166666666666667,0.025458753860865786,3,0.4166666666666667
100000,MIDIAN,midian,0.8322222222222222,0.00801233616769777,3,0.8277777777777778
100000,MIDIAN w/o defenses,midian_wo_defenses,0.7055555555555556,0.02075726854696601,3,0.7055555555555556
100000,flat probe argmax,flat_probe_argmax_online,0.7488888888888888,0.03044931023565492,3,0.7488888888888888
100000,best learned/declared router,best_learned,0.7411111111111112,0.019372884193514097,3,0.7411111111111112
100000,best bandit,best_bandit,0.748888888888889,0.01543604887716642,3,0.7777777777777777
100000,declared argmax,declared_argmax,0.49111111111111105,0.05674286815468312,3,0.5777777777777778
100000,best framework,best_framework,0.49333333333333335,0.02009237924447236,3,0.6088888888888889
100000,random,random,0.44222222222222224,0.016024672335395496,3,0.4422222222222222
