family,regime,dist,n,arm,shortlist,mean,ci_lo,ci_hi,seeds,rerun_outstanding
live,beta0,bimodal,100,oracle,-,0.5733999999999999,0.5668974999999999,0.5794999999999999,10,False
live,beta0,bimodal,100,MIDIAN-VA (whole population),-,0.5490000000000002,0.5393000000000001,0.5577000000000001,10,False
live,beta0,bimodal,100,adk,tfidf,0.56275,0.5531250000000001,0.57175,8,True
live,beta0,bimodal,100,autogen,tfidf,0.5614,0.5519974999999999,0.5704025,10,False
live,beta0,bimodal,100,camel,tfidf,0.5614,0.5519974999999999,0.5704025,10,False
live,beta0,bimodal,100,crewai,tfidf,0.5614,0.5519974999999999,0.5704025,10,False
live,beta0,bimodal,100,langgraph,tfidf,0.5614,0.5519974999999999,0.5704025,10,False
live,beta0,bimodal,100,llama,tfidf,0.5614,0.5519974999999999,0.5704025,10,False
live,beta0,bimodal,100,maf,tfidf,0.5614,0.5519974999999999,0.5704025,10,False
live,beta0,bimodal,100,magentic,tfidf,0.5641111111111111,0.5552222222222222,0.5727777777777777,9,True
live,beta0,bimodal,100,openai,tfidf,0.5614,0.5519974999999999,0.5704025,10,False
live,beta0,bimodal,100,smol,tfidf,0.5614,0.5519974999999999,0.5704025,10,False
live,beta0,bimodal,100,adk,embed,0.5650000000000001,0.5576666666666668,0.5731708333333334,6,True
live,beta0,bimodal,100,autogen,embed,0.5462000000000001,0.5382000000000001,0.5534025000000001,10,False
live,beta0,bimodal,100,camel,embed,0.5626,0.5507,0.5737,10,False
live,beta0,bimodal,100,crewai,embed,0.5544,0.5462,0.5640000000000001,5,True
live,beta0,bimodal,100,langgraph,embed,0.5668,0.5584,0.5746999999999999,10,False
live,beta0,bimodal,100,llama,embed,0.5199,0.5141975,0.5253,10,False
live,beta0,bimodal,100,maf,embed,0.5374000000000001,0.5305974999999999,0.5450999999999999,10,False
live,beta0,bimodal,100,magentic,embed,0.5651999999999999,0.5584,0.5717999999999999,10,False
live,beta0,bimodal,100,openai,embed,0.5671999999999999,0.5612,0.5734024999999999,10,False
live,beta0,bimodal,100,smol,embed,0.5569,0.5499,0.5635,10,False
live,beta0,bimodal,100,autogen,sota,0.5530999999999999,0.5457974999999999,0.5608025000000001,10,False
live,beta0,bimodal,100,camel,sota,0.5614,0.5492000000000001,0.5727,10,False
live,beta0,bimodal,100,langgraph,sota,0.5696000000000001,0.5630000000000001,0.5761000000000001,10,False
live,beta0,bimodal,100,llama,sota,0.5324000000000001,0.5252,0.5389999999999999,10,False
live,beta0,bimodal,100,maf,sota,0.5405,0.5345000000000001,0.5469999999999999,10,False
live,beta0,bimodal,100,magentic,sota,0.5647,0.5579,0.5714024999999999,10,False
live,beta0,bimodal,100,openai,sota,0.5670999999999999,0.5610999999999999,0.5733999999999999,10,False
live,beta0,bimodal,100,smol,sota,0.5639000000000001,0.5569,0.5706,10,False
live,beta0,bimodal,100,autogen,va_cohort,0.5636,0.5545000000000002,0.5723,10,False
live,beta0,bimodal,100,camel,va_cohort,0.5689000000000001,0.5608000000000001,0.5764,10,False
live,beta0,bimodal,100,crewai,va_cohort,0.511,0.511,0.511,1,True
live,beta0,bimodal,100,langgraph,va_cohort,0.5442,0.5368,0.5513000000000001,10,False
live,beta0,bimodal,100,llama,va_cohort,0.4868,0.4694000000000001,0.5067025000000002,10,False
live,beta0,bimodal,100,maf,va_cohort,0.5277000000000001,0.5173,0.5387000000000001,10,False
live,beta0,bimodal,100,magentic,va_cohort,0.5697,0.5625,0.5761999999999999,10,False
live,beta0,bimodal,100,openai,va_cohort,0.5638000000000001,0.5536000000000001,0.5737025,10,False
live,beta0,bimodal,100,smol,va_cohort,0.5645,0.5556000000000001,0.5732999999999999,10,False
live,beta01_random,bimodal,100,oracle,-,0.5733999999999999,0.5668974999999999,0.5794999999999999,10,False
live,beta01_random,bimodal,100,MIDIAN-VA (whole population),-,0.541,0.5296000000000001,0.5517,10,False
live,beta01_random,bimodal,100,adk,tfidf,0.5614,0.5519974999999999,0.5704025,10,False
live,beta01_random,bimodal,100,autogen,tfidf,0.5614,0.5519974999999999,0.5704025,10,False
live,beta01_random,bimodal,100,camel,tfidf,0.5614,0.5519974999999999,0.5704025,10,False
live,beta01_random,bimodal,100,crewai,tfidf,0.5614,0.5519974999999999,0.5704025,10,False
live,beta01_random,bimodal,100,langgraph,tfidf,0.5614,0.5519974999999999,0.5704025,10,False
live,beta01_random,bimodal,100,llama,tfidf,0.5614,0.5519974999999999,0.5704025,10,False
live,beta01_random,bimodal,100,maf,tfidf,0.5614,0.5519974999999999,0.5704025,10,False
live,beta01_random,bimodal,100,magentic,tfidf,0.5606666666666666,0.550663888888889,0.5711111111111111,9,True
live,beta01_random,bimodal,100,openai,tfidf,0.5614,0.5519974999999999,0.5704025,10,False
