n,regime,shortlist,list_mean,best,pos1,liar_frac,frameworks,fw_mean,rec_mean,rec_min,rec_max
10000,beta0,declared,0.60968405,0.75114584,0.6523611,0.0,,,,,
10000,beta0,dense_icomp,0.48692012,0.76996535,0.4467361,0.0,,,,,
10000,beta0,dense_idemo,0.4861215,0.7616667,0.41979167,0.0,,,,,
10000,beta0,embed,0.45512846,0.6994445,0.38749996,0.0,8.0,0.43652777777777774,-0.07613370576001564,-0.2938617379157349,0.4747239003989715
10000,beta0,sota,0.37607637,0.59524304,0.29322916,0.0,8.0,0.4140277777777777,0.17316231499122373,-0.18488584788861415,0.6364069292658463
10000,beta0,sota_icomp,0.442875,0.7481597,0.36593747,0.0,,,,,
10000,beta0,sota_idemo,0.4164236,0.72,0.35354164,0.0,,,,,
10000,beta0,tfidf,0.32094097,0.52878475,0.29010415,0.0,9.0,0.2950617283950617,-0.12451295350288978,-0.30924333914533086,0.22000030589458833
10000,beta0,va_cohort,0.4467882,0.835625,0.8313195,0.0,8.0,0.5898611111111111,0.3679510759491978,0.17113900062424636,0.5940527886183342
10000,cartel,declared,0.50403476,0.74128467,0.51027775,0.47500000000000003,,,,,
10000,cartel,dense_icomp,0.48692012,0.76996535,0.4467361,0.5166666666666667,,,,,
10000,cartel,dense_idemo,0.4861215,0.7616667,0.41979167,0.4895833333333333,,,,,
10000,cartel,embed,0.45512846,0.6994445,0.38749996,0.6458333333333334,7.0,0.41730158730158723,-0.15482764949701378,-0.28476604988834164,-0.0027997210391599177
10000,cartel,sota,0.37607637,0.59524304,0.29322916,0.6541666666666667,7.0,0.40507936507936504,0.13233305545675936,-0.17981613938766064,0.4589671317324748
10000,cartel,sota_icomp,0.442875,0.7481597,0.36593747,0.5520833333333334,,,,,
10000,cartel,sota_idemo,0.4164236,0.72,0.35354164,0.5958333333333333,,,,,
10000,cartel,tfidf,0.32094097,0.52878475,0.29010415,0.7999999999999999,8.0,0.2875,-0.16089474167202006,-0.3038974437408872,-0.009873196496487312
10000,cartel,va_cohort,0.44665623,0.835625,0.8313195,0.4833333333333334,7.0,0.5461904761904762,0.25589265217842994,0.07715385449547313,0.4485061510513878
100000,beta0,declared,0.61426044,0.7498958,0.62711805,0.0,8.0,0.6202777777777778,0.044364109511131095,-0.06417853370582899,0.18977029193385092
100000,beta0,dense_icomp,0.4851562,0.75072926,0.42822918,0.0,8.0,0.48638888888888887,0.004641587657374601,-0.30809931030623466,0.5328494587999253
100000,beta0,dense_idemo,0.47287497,0.72583324,0.4096875,0.0,8.0,0.46486111111111106,-0.03168055426122512,-0.17388670754093963,0.5772253298592516
100000,beta0,embed,0.4551042,0.70020837,0.38541666,0.0,8.0,0.46027777777777773,0.021107661590414432,-0.3018842672769101,0.5956933034701818
100000,beta0,sota,0.3728403,0.5828472,0.24677084,0.0,8.0,0.40277777777777773,0.1425548090082303,-0.3098112956807701,0.663701724936494
100000,beta0,sota_icomp,0.42782292,0.73770833,0.35010418,0.0,8.0,0.4318055555555555,0.012851969456048822,-0.12564008257932593,0.40502201971803187
100000,beta0,sota_idemo,0.40991667,0.6991666,0.3769792,0.0,8.0,0.4230555555555555,0.04542399222131982,-0.21866903532940424,0.38442340576824957
100000,beta0,tfidf,0.38388887,0.38388887,0.38388887,0.0,10.0,0.3788888888888888,-inf,-inf,-inf
100000,beta0,va_cohort,0.46249652,0.83809024,0.8357291,0.0,8.0,0.5681944444444444,0.28141558072485034,0.028852490373725833,0.5406347993721977
100000,cartel,declared,0.52671874,0.74708337,0.5670139,0.42083333333333334,8.0,0.5444444444444444,0.08043808451327304,0.009848010507921275,0.1964074918077791
100000,cartel,dense_icomp,0.4851562,0.75072926,0.42822918,0.5145833333333333,8.0,0.48819444444444443,0.011440302830496615,-0.18676839337052026,0.4659082632491866
100000,cartel,dense_idemo,0.47287497,0.72583324,0.4096875,0.5020833333333333,8.0,0.45833333333333326,-0.05748630408418491,-0.2134189200356868,0.3883492034954611
100000,cartel,embed,0.4551042,0.70020837,0.38541666,0.6375,8.0,0.44847222222222216,-0.027057801486292027,-0.3154839274397451,0.1741038384223049
100000,cartel,sota,0.3728403,0.5828472,0.24677084,0.65625,8.0,0.40472222222222215,0.1518137643673618,-0.32568379058213837,0.5367217657255463
100000,cartel,sota_icomp,0.42782292,0.73770833,0.35010418,0.56875,8.0,0.4279166666666666,0.00030252784766537574,-0.12564008257932593,0.3225542605772263
100000,cartel,sota_idemo,0.40991667,0.6991666,0.3769792,0.6020833333333334,8.0,0.41638888888888886,0.022375873453256628,-0.22635174158542554,0.3921061120242707
100000,cartel,tfidf,0.38388887,0.38388887,0.38388887,0.7291666666666666,10.0,0.3788888888888888,-inf,-inf,-inf
100000,cartel,va_cohort,0.4591736,0.83809024,0.8357291,0.5104166666666666,8.0,0.5519444444444445,0.24483182317852525,-0.0007513553579433161,0.5475955626876637
