family,regime,group,n,label,mean,ci_lo,ci_hi,seeds
replay,beta0,all shapes pooled,1000,cluster_head_router,0.775823,0.7750205416666667,0.7766421333333334,1000
replay,beta0,all shapes pooled,1000000,cluster_head_router,0.7884433333333334,0.7857750833333332,0.7910634166666667,100
replay,beta0,all shapes pooled,10,cluster_head_router,0.4831726666666667,0.4758190083333333,0.4904268083333334,1000
replay,beta0,all shapes pooled,10000,cluster_head_router,0.7872776666666667,0.7865036416666668,0.788047075,1000
replay,beta0,all shapes pooled,100,cluster_head_router,0.6519626666666668,0.6508459583333334,0.6530973416666668,1000
replay,beta0,all shapes pooled,100000,cluster_head_router,0.7892233333333334,0.7875143750000002,0.7909917916666667,200
replay,beta0,all shapes pooled,1000,cnp_self_bid,0.7843196666666667,0.7835366416666667,0.7850743583333334,1000
replay,beta0,all shapes pooled,1000000,cnp_self_bid,0.7883733333333334,0.7856495833333335,0.7910734166666666,100
replay,beta0,all shapes pooled,10,cnp_self_bid,0.482672,0.4753421999999999,0.4898896583333333,1000
replay,beta0,all shapes pooled,10000,cnp_self_bid,0.7874296666666666,0.7866665500000001,0.7882013750000001,1000
replay,beta0,all shapes pooled,100,cnp_self_bid,0.7442183333333332,0.74321095,0.7453287166666667,1000
replay,beta0,all shapes pooled,100000,cnp_self_bid,0.7892316666666667,0.7875164583333333,0.7910067916666667,200
replay,beta0,all shapes pooled,1000,declared_argmax,0.7853013333333333,0.7845126333333334,0.78606335,1000
replay,beta0,all shapes pooled,1000000,declared_argmax,0.7881999999999999,0.7855498333333331,0.7908369166666664,100
replay,beta0,all shapes pooled,10,declared_argmax,0.483168,0.475815775,0.4904211416666667,1000
replay,beta0,all shapes pooled,10000,declared_argmax,0.787846,0.78707855,0.7886179999999999,1000
replay,beta0,all shapes pooled,100,declared_argmax,0.7452843333333333,0.74427145,0.7463832583333333,1000
replay,beta0,all shapes pooled,100000,declared_argmax,0.7893533333333334,0.7876197916666666,0.7911284166666667,200
replay,beta0,all shapes pooled,1000,declared_softmax,0.7031903333333333,0.7024335583333334,0.7039730833333333,1000
replay,beta0,all shapes pooled,1000000,declared_softmax,0.7061133333333334,0.7038465,0.7085001666666665,100
replay,beta0,all shapes pooled,10,declared_softmax,0.462088,0.4548428166666667,0.4692580083333334,1000
replay,beta0,all shapes pooled,10000,declared_softmax,0.7056163333333334,0.7048988666666668,0.7063617416666667,1000
replay,beta0,all shapes pooled,100,declared_softmax,0.6771896666666667,0.6761383833333334,0.6783599999999999,1000
replay,beta0,all shapes pooled,100000,declared_softmax,0.70666,0.7050465833333331,0.7083651666666667,200
replay,beta0,all shapes pooled,1000,disrouter_cascade,0.6886136666666667,0.6877989916666666,0.6894410000000001,1000
replay,beta0,all shapes pooled,1000000,disrouter_cascade,0.6418733333333334,0.6394898333333333,0.6446235833333334,100
replay,beta0,all shapes pooled,10,disrouter_cascade,0.4714863333333333,0.4642521333333333,0.4786423416666666,1000
replay,beta0,all shapes pooled,10000,disrouter_cascade,0.6668173333333334,0.66600795,0.6676336916666665,1000
replay,beta0,all shapes pooled,100,disrouter_cascade,0.694634,0.6937201583333333,0.695550475,1000
replay,beta0,all shapes pooled,100000,disrouter_cascade,0.6538099999999999,0.6519866666666667,0.6556217083333333,200
replay,beta0,all shapes pooled,1000,flat_nsw_router,0.7000890000000001,0.6991508583333335,0.7009806916666667,1000
replay,beta0,all shapes pooled,1000000,flat_nsw_router,0.71278,0.7095586666666664,0.71599,100
replay,beta0,all shapes pooled,10,flat_nsw_router,0.446144,0.4392099333333333,0.4533243583333333,1000
replay,beta0,all shapes pooled,10000,flat_nsw_router,0.7102313333333333,0.70929165,0.7112400583333334,1000
