el,x,y,w,key,cartel,b,z,x1,text
bar,-0.403125,0.8121,0.0510625,midian,False,5.0,2.0,,
bar,-0.403125,0.7816,0.0510625,midian,False,3.0,3.0,,
bar,-0.403125,0.7104999999999999,0.0510625,midian,False,1.0,4.0,,
bar,-0.349375,0.8121,0.0510625,midian,True,5.0,2.0,,
bar,-0.349375,0.768,0.0510625,midian,True,3.0,3.0,,
bar,-0.349375,0.6972,0.0510625,midian,True,1.0,4.0,,
bar,-0.29562499999999997,0.77705,0.0510625,midian_wo_defenses,False,3.0,2.0,,
bar,-0.241875,0.7405,0.0510625,midian_wo_defenses,True,3.0,2.0,,
bar,-0.188125,0.7805,0.0510625,flat_probe_argmax_online,False,3.0,2.0,,
bar,-0.134375,0.7805,0.0510625,flat_probe_argmax_online,True,3.0,2.0,,
bar,-0.080625,0.7375999999999999,0.0510625,best_learned,False,3.0,2.0,,
bar,-0.026875,0.7375999999999999,0.0510625,best_learned,True,3.0,2.0,,
bar,0.026875,0.7524,0.0510625,best_bandit,False,3.0,2.0,,
bar,0.080625,0.7524,0.0510625,best_bandit,True,3.0,2.0,,
bar,0.134375,0.5991000000000002,0.0510625,declared_argmax,False,,2.0,,
bar,0.188125,0.5181,0.0510625,declared_argmax,True,,2.0,,
bar,0.241875,0.6111,0.0510625,best_framework,False,,2.0,,
bar,0.29562499999999997,0.5660999999999999,0.0510625,best_framework,True,,2.0,,
bar,0.349375,0.4258,0.0510625,random,False,,2.0,,
bar,0.403125,0.4258,0.0510625,random,True,,2.0,,
oracle,-0.46,0.8449,,,,,,0.46,
bar,0.596875,0.8376999999999999,0.0510625,midian,False,5.0,2.0,,
bar,0.596875,0.8134,0.0510625,midian,False,3.0,3.0,,
bar,0.596875,0.6913,0.0510625,midian,False,1.0,4.0,,
bar,0.650625,0.8375,0.0510625,midian,True,5.0,2.0,,
bar,0.650625,0.8074,0.0510625,midian,True,3.0,3.0,,
bar,0.650625,0.6914,0.0510625,midian,True,1.0,4.0,,
bar,0.704375,0.7889833333333334,0.0510625,midian_wo_defenses,False,3.0,2.0,,
bar,0.7581249999999999,0.7379166666666667,0.0510625,midian_wo_defenses,True,3.0,2.0,,
bar,0.811875,0.7871000000000001,0.0510625,flat_probe_argmax_online,False,3.0,2.0,,
bar,0.865625,0.7869,0.0510625,flat_probe_argmax_online,True,3.0,2.0,,
bar,0.919375,0.7656,0.0510625,best_learned,False,3.0,2.0,,
bar,0.973125,0.7656,0.0510625,best_learned,True,3.0,2.0,,
bar,1.026875,0.7737,0.0510625,best_bandit,False,3.0,2.0,,
bar,1.080625,0.7636000000000001,0.0510625,best_bandit,True,3.0,2.0,,
