family,regime,dist,n,arm,shortlist,mean,ci_lo,ci_hi,seeds,rerun_outstanding
live,beta0,bimodal,100,oracle,-,0.5733999999999999,0.5699096959699443,0.5768903040300555,10,False
live,beta0,bimodal,100,"MIDIAN, no framework",-,0.5490000000000002,0.544006671117047,0.5539933288829533,10,False
live,beta0,bimodal,100,random,-,0.24530000000000002,0.23808882040778967,0.25251117959221037,10,False
live,beta0,bimodal,100,adk,tfidf,0.56275,0.5574694764869922,0.5680305235130078,8,False
live,beta0,bimodal,100,autogen,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta0,bimodal,100,camel,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta0,bimodal,100,crewai,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta0,bimodal,100,langgraph,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta0,bimodal,100,llama,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta0,bimodal,100,maf,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta0,bimodal,100,magentic,tfidf,0.5641111111111111,0.5592592946000722,0.5689629276221501,9,False
live,beta0,bimodal,100,openai,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta0,bimodal,100,smol,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta0,bimodal,100,adk,embed,0.5650000000000001,0.5606411010564594,0.5693588989435407,6,False
live,beta0,bimodal,100,autogen,embed,0.5462000000000001,0.5420318669247093,0.550368133075291,10,False
live,beta0,bimodal,100,camel,embed,0.5626,0.5562575504206445,0.5689424495793555,10,False
live,beta0,bimodal,100,crewai,embed,0.5544,0.5491312240510722,0.5596687759489278,5,False
live,beta0,bimodal,100,langgraph,embed,0.5668,0.562311001101458,0.5712889988985419,10,False
live,beta0,bimodal,100,llama,embed,0.5199,0.5168909396077107,0.5229090603922893,10,False
live,beta0,bimodal,100,maf,embed,0.5374000000000001,0.5334273154892162,0.541372684510784,10,False
live,beta0,bimodal,100,magentic,embed,0.5651999999999999,0.5615157994987604,0.5688842005012394,10,False
live,beta0,bimodal,100,openai,embed,0.5671999999999999,0.5638111293260962,0.5705888706739036,10,False
live,beta0,bimodal,100,smol,embed,0.5569,0.5531868102960152,0.5606131897039847,10,False
live,beta0,bimodal,100,autogen,sota,0.5530999999999999,0.5490135726008053,0.5571864273991946,10,False
live,beta0,bimodal,100,camel,sota,0.5614,0.5549137752805572,0.5678862247194428,10,False
live,beta0,bimodal,100,langgraph,sota,0.5696000000000001,0.5660185663950499,0.5731814336049503,10,False
live,beta0,bimodal,100,llama,sota,0.5324000000000001,0.5287539976229667,0.5360460023770335,10,False
live,beta0,bimodal,100,maf,sota,0.5405,0.5371096542293676,0.5438903457706323,10,False
live,beta0,bimodal,100,magentic,sota,0.5647,0.5609999999999999,0.5684,10,False
live,beta0,bimodal,100,openai,sota,0.5670999999999999,0.563718843064538,0.5704811569354619,10,False
live,beta0,bimodal,100,smol,sota,0.5639000000000001,0.560130384635006,0.5676696153649942,10,False
live,beta0,bimodal,100,autogen,va_cohort,0.5636,0.5586240578781501,0.5685759421218499,10,False
live,beta0,bimodal,100,camel,va_cohort,0.5689000000000001,0.5645094799093199,0.5732905200906803,10,False
live,beta0,bimodal,100,crewai,va_cohort,0.511,0.511,0.511,1,False
live,beta0,bimodal,100,langgraph,va_cohort,0.5442,0.5401344263764029,0.5482655736235972,10,False
live,beta0,bimodal,100,llama,va_cohort,0.4868,0.4762603394530732,0.4973396605469268,10,False
live,beta0,bimodal,100,maf,va_cohort,0.5277000000000001,0.5217054654522271,0.533694534547773,10,False
live,beta0,bimodal,100,magentic,va_cohort,0.5697,0.5658585592980411,0.5735414407019589,10,False
live,beta0,bimodal,100,openai,va_cohort,0.5638000000000001,0.5582166915423441,0.5693833084576561,10,False
live,beta0,bimodal,100,smol,va_cohort,0.5645,0.5596004535357285,0.5693995464642715,10,False
live,beta01_random,bimodal,100,oracle,-,0.5733999999999999,0.5699096959699443,0.5768903040300555,10,False
live,beta01_random,bimodal,100,"MIDIAN, no framework",-,0.541,0.5350111214182732,0.5469888785817268,10,False
live,beta01_random,bimodal,100,random,-,0.24530000000000002,0.23808882040778967,0.25251117959221037,10,False
live,beta01_random,bimodal,100,adk,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta01_random,bimodal,100,autogen,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta01_random,bimodal,100,camel,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta01_random,bimodal,100,crewai,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta01_random,bimodal,100,langgraph,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta01_random,bimodal,100,llama,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta01_random,bimodal,100,maf,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta01_random,bimodal,100,magentic,tfidf,0.5606666666666666,0.5550049040828456,0.5663284292504877,9,False
live,beta01_random,bimodal,100,openai,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta01_random,bimodal,100,smol,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta01_random,bimodal,100,adk,embed,0.561,0.5580092735925123,0.5639907264074878,9,False
live,beta01_random,bimodal,100,autogen,embed,0.5457000000000001,0.5416529160017504,0.5497470839982498,10,False
live,beta01_random,bimodal,100,camel,embed,0.5620999999999999,0.5557816844720201,0.5684183155279797,10,False
live,beta01_random,bimodal,100,crewai,embed,0.5529999999999999,0.5485204166860447,0.5574795833139552,6,False
live,beta01_random,bimodal,100,langgraph,embed,0.5673999999999999,0.5631073706581319,0.5716926293418679,10,False
live,beta01_random,bimodal,100,llama,embed,0.5206000000000001,0.517644026763014,0.5235559732369861,10,False
live,beta01_random,bimodal,100,maf,embed,0.5376000000000001,0.5337988305892938,0.5414011694107064,10,False
live,beta01_random,bimodal,100,magentic,embed,0.5653,0.5617942903714084,0.5688057096285917,10,False
live,beta01_random,bimodal,100,openai,embed,0.5671999999999999,0.5638407672833748,0.570559232716625,10,False
live,beta01_random,bimodal,100,smol,embed,0.5567999999999999,0.5531127848509265,0.5604872151490732,10,False
live,beta01_random,bimodal,100,autogen,sota,0.5538000000000001,0.5495605031745109,0.5580394968254893,10,False
live,beta01_random,bimodal,100,camel,sota,0.5619,0.5554649397827215,0.5683350602172784,10,False
live,beta01_random,bimodal,100,langgraph,sota,0.5721999999999999,0.5688806961907987,0.5755193038092011,10,False
live,beta01_random,bimodal,100,llama,sota,0.5330000000000001,0.5292851648757988,0.5367148351242015,10,False
